Municipality,Women,Men,Ethnicity,Year
Makedonski Brod,0,2,Serbian,2012
Negotino,2,13,Serbian,2012
Ohrid,12,12,Serbian,2012
Prilep,6,4,Serbian,2012
Probishtip,2,4,Serbian,2012
Radovish,4,10,Serbian,2012
Resen,0,11,Serbian,2012
Sveti Nikole,1,5,Serbian,2012
Skopje,192,205,Serbian,2012
Struga,2,10,Serbian,2012
Strumica,4,5,Serbian,2012
Tetovo,12,26,Serbian,2012
Shtip,6,11,Serbian,2012
Berovo ,0,0,Vlachs,2012
Bitola,6,11,Vlachs,2012
Valandovo,0,0,Vlachs,2012
Veles,2,0,Vlachs,2012
Vinica,1,1,Vlachs,2012
Gevgelija,0,2,Vlachs,2012
Gostivar,0,0,Vlachs,2012
Debar,0,0,Vlachs,2012
Delchevo,0,0,Vlachs,2012
Demir Hisar,0,0,Vlachs,2012
Kavadarci,0,0,Vlachs,2012
Kichevo,0,2,Vlachs,2012
Kochani,3,4,Vlachs,2012
Kratovo,0,0,Vlachs,2012
Kriva Palanka,0,0,Vlachs,2012
Krushevo,47,72,Vlachs,2012
Kumanovo,5,2,Vlachs,2012
Makedonski Brod,0,0,Vlachs,2012
Negotino,0,0,Vlachs,2012
Ohrid,3,0,Vlachs,2012
Prilep,0,0,Vlachs,2012
Probishtip,0,1,Vlachs,2012
Radovish,0,1,Vlachs,2012
Resen,0,1,Vlachs,2012
Sveti Nikole,6,8,Vlachs,2012
Skopje,6,4,Vlachs,2012
Struga,2,3,Vlachs,2012
Strumica,0,0,Vlachs,2012
Tetovo,0,0,Vlachs,2012
Shtip,41,74,Vlachs,2012
Berovo ,0,0,Bosniak,2012
Bitola,1,0,Bosniak,2012
Valandovo,0,0,Bosniak,2012
Veles,70,79,Bosniak,2012
Vinica,0,0,Bosniak,2012
Gevgelija,2,1,Bosniak,2012
Gostivar,1,0,Bosniak,2012
Debar,0,0,Bosniak,2012
Delchevo,0,0,Bosniak,2012
Demir Hisar,0,0,Bosniak,2012
Kavadarci,0,1,Bosniak,2012
Kichevo,0,1,Bosniak,2012
Kochani,0,0,Bosniak,2012
Kratovo,0,0,Bosniak,2012
Kriva Palanka,0,0,Bosniak,2012
Krushevo,4,3,Bosniak,2012
Kumanovo,0,0,Bosniak,2012
Makedonski Brod,0,1,Bosniak,2012
Negotino,0,0,Bosniak,2012
Ohrid,0,0,Bosniak,2012
Prilep,51,57,Bosniak,2012
Probishtip,0,0,Bosniak,2012
Radovish,0,0,Bosniak,2012
Resen,0,0,Bosniak,2012
Sveti Nikole,1,1,Bosniak,2012
Skopje,99,88,Bosniak,2012
Struga,0,1,Bosniak,2012
Strumica,0,0,Bosniak,2012
Tetovo,0,3,Bosniak,2012
Shtip,0,0,Bosniak,2012
Berovo ,5,4,Other,2012
Bitola,82,95,Other,2012
Valandovo,6,7,Other,2012
Veles,212,334,Other,2012
Vinica,3,6,Other,2012
Gevgelija,2,1,Other,2012
Gostivar,135,524,Other,2012
Debar,336,620,Other,2012
Delchevo,6,2,Other,2012
Demir Hisar,0,0,Other,2012
Kavadarci,9,17,Other,2012
Kichevo,40,91,Other,2012
Kochani,4,9,Other,2012
Kratovo,1,0,Other,2012
Kriva Palanka,10,6,Other,2012
Krushevo,9,24,Other,2012
Kumanovo,28,26,Other,2012
Makedonski Brod,1,3,Other,2012
Negotino,9,7,Other,2012
Ohrid,236,204,Other,2012
Prilep,117,133,Other,2012
Probishtip,3,3,Other,2012
Radovish,10,5,Other,2012
Resen,18,25,Other,2012
Sveti Nikole,1,6,Other,2012
Skopje,502,522,Other,2012
Struga,206,601,Other,2012
Strumica,17,29,Other,2012
Tetovo,37,70,Other,2012
Shtip,9,7,Other,2012
