Municipality,Women,Men,Ethnicity,Year
Berovo ,1198,1488,Macedonian,2012
Bitola,6904,6676,Macedonian,2012
Valandovo,453,774,Macedonian,2012
Veles,4121,4767,Macedonian,2012
Vinica,836,1305,Macedonian,2012
Gevgelija,1188,1449,Macedonian,2012
Gostivar,1507,1585,Macedonian,2012
Debar,51,61,Macedonian,2012
Delchevo,1571,2228,Macedonian,2012
Demir Hisar,742,789,Macedonian,2012
Kavadarci,3265,3254,Macedonian,2012
Kichevo,1737,1682,Macedonian,2012
Kochani,2492,4266,Macedonian,2012
Kratovo,810,898,Macedonian,2012
Kriva Palanka,2569,2618,Macedonian,2012
Krushevo,555,631,Macedonian,2012
Kumanovo,5058,5240,Macedonian,2012
Makedonski Brod,825,844,Macedonian,2012
Negotino,1157,1257,Macedonian,2012
Ohrid,3736,3764,Macedonian,2012
Prilep,7017,7537,Macedonian,2012
Probishtip,1178,1424,Macedonian,2012
Radovish,1645,2065,Macedonian,2012
Resen,832,1026,Macedonian,2012
Sveti Nikole,1420,2295,Macedonian,2012
Skopje,15234,13548,Macedonian,2012
Struga,1648,2009,Macedonian,2012
Strumica,5176,6230,Macedonian,2012
Tetovo,1995,2576,Macedonian,2012
Shtip,1789,2797,Macedonian,2012
Berovo ,1,0,Albanian,2012
Bitola,329,413,Albanian,2012
Valandovo,0,2,Albanian,2012
Veles,229,502,Albanian,2012
Vinica,0,0,Albanian,2012
Gevgelija,1,3,Albanian,2012
Gostivar,1387,3905,Albanian,2012
Debar,597,772,Albanian,2012
Delchevo,0,0,Albanian,2012
Demir Hisar,16,25,Albanian,2012
Kavadarci,4,1,Albanian,2012
Kichevo,921,1378,Albanian,2012
Kochani,2,0,Albanian,2012
Kratovo,0,0,Albanian,2012
Kriva Palanka,1,0,Albanian,2012
Krushevo,33,205,Albanian,2012
Kumanovo,2943,4809,Albanian,2012
Makedonski Brod,13,1,Albanian,2012
Negotino,4,0,Albanian,2012
Ohrid,174,192,Albanian,2012
Prilep,116,210,Albanian,2012
Probishtip,0,0,Albanian,2012
Radovish,1,1,Albanian,2012
Resen,59,98,Albanian,2012
Sveti Nikole,2,7,Albanian,2012
Skopje,3875,9715,Albanian,2012
Struga,806,1626,Albanian,2012
Strumica,1,0,Albanian,2012
Tetovo,4756,11273,Albanian,2012
Shtip,1,3,Albanian,2012
Berovo ,40,56,Turkish,2012
Bitola,201,196,Turkish,2012
Valandovo,87,188,Turkish,2012
Veles,176,222,Turkish,2012
Vinica,6,16,Turkish,2012
Gevgelija,8,21,Turkish,2012
Gostivar,136,651,Turkish,2012
Debar,174,450,Turkish,2012
Delchevo,8,4,Turkish,2012
Demir Hisar,4,3,Turkish,2012
Kavadarci,7,6,Turkish,2012
Kichevo,285,461,Turkish,2012
Kochani,3,7,Turkish,2012
Kratovo,0,0,Turkish,2012
Kriva Palanka,0,0,Turkish,2012
Krushevo,7,27,Turkish,2012
Kumanovo,8,33,Turkish,2012
Makedonski Brod,139,283,Turkish,2012
Negotino,10,19,Turkish,2012
Ohrid,127,189,Turkish,2012
Prilep,137,312,Turkish,2012
Probishtip,0,0,Turkish,2012
Radovish,204,539,Turkish,2012
Resen,76,138,Turkish,2012
Sveti Nikole,14,20,Turkish,2012
Skopje,266,366,Turkish,2012
Struga,47,77,Turkish,2012
Strumica,755,1417,Turkish,2012
Tetovo,33,99,Turkish,2012
Shtip,80,230,Turkish,2012
Berovo ,88,117,Roma,2012
Bitola,256,222,Roma,2012
Valandovo,2,1,Roma,2012
Veles,77,90,Roma,2012
Vinica,100,131,Roma,2012
Gevgelija,4,8,Roma,2012
Gostivar,158,379,Roma,2012
Debar,150,262,Roma,2012
Delchevo,79,95,Roma,2012
Demir Hisar,0,0,Roma,2012
Kavadarci,47,102,Roma,2012
Kichevo,183,391,Roma,2012
Kochani,135,216,Roma,2012
Kratovo,17,26,Roma,2012
Kriva Palanka,70,80,Roma,2012
Krushevo,3,7,Roma,2012
Kumanovo,151,197,Roma,2012
Makedonski Brod,0,0,Roma,2012
Negotino,4,12,Roma,2012
Ohrid,118,86,Roma,2012
Prilep,646,674,Roma,2012
Probishtip,1,2,Roma,2012
Radovish,8,5,Roma,2012
Resen,23,40,Roma,2012
Sveti Nikole,10,10,Roma,2012
Skopje,1057,1663,Roma,2012
Struga,18,38,Roma,2012
Strumica,8,0,Roma,2012
Tetovo,120,247,Roma,2012
Shtip,176,227,Roma,2012
Berovo ,2,0,Serbian,2012
Bitola,12,24,Serbian,2012
Valandovo,33,86,Serbian,2012
Veles,5,28,Serbian,2012
Vinica,1,0,Serbian,2012
Gevgelija,26,49,Serbian,2012
Gostivar,7,8,Serbian,2012
Debar,3,2,Serbian,2012
Delchevo,4,3,Serbian,2012
Demir Hisar,0,0,Serbian,2012
Kavadarci,13,28,Serbian,2012
Kichevo,4,6,Serbian,2012
Kochani,2,3,Serbian,2012
Kratovo,1,0,Serbian,2012
Kriva Palanka,4,3,Serbian,2012
Krushevo,1,3,Serbian,2012
Kumanovo,398,565,Serbian,2012
