Municipality,Women,Men,Ethnicity,Year
Makedonski Brod,0,0,Roma,2007
Negotino,30,43,Roma,2007
Ohrid,188,167,Roma,2007
Prilep,857,880,Roma,2007
Probishtip,0,2,Roma,2007
Radovish,4,12,Roma,2007
Resen,48,64,Roma,2007
Sveti Nikole,18,9,Roma,2007
Skopje,2945,4123,Roma,2007
Struga,33,48,Roma,2007
Strumica,3,3,Roma,2007
Tetovo,211,406,Roma,2007
Shtip,391,478,Roma,2007
Berovo ,4,1,Serbian,2007
Bitola,12,29,Serbian,2007
Valandovo,62,137,Serbian,2007
Veles,16,47,Serbian,2007
Vinica,1,0,Serbian,2007
Gevgelija,43,71,Serbian,2007
Gostivar,11,14,Serbian,2007
Debar,4,3,Serbian,2007
Delchevo,5,1,Serbian,2007
Demir Hisar,0,0,Serbian,2007
Kavadarci,16,39,Serbian,2007
Kichevo,3,9,Serbian,2007
Kochani,10,4,Serbian,2007
Kratovo,1,0,Serbian,2007
Kriva Palanka,8,3,Serbian,2007
Krushevo,0,3,Serbian,2007
Kumanovo,590,988,Serbian,2007
Makedonski Brod,0,1,Serbian,2007
Negotino,11,30,Serbian,2007
Ohrid,17,19,Serbian,2007
Prilep,6,3,Serbian,2007
Probishtip,0,2,Serbian,2007
Radovish,6,11,Serbian,2007
Resen,6,14,Serbian,2007
Sveti Nikole,8,5,Serbian,2007
Skopje,323,377,Serbian,2007
Struga,5,6,Serbian,2007
Strumica,6,11,Serbian,2007
Tetovo,17,29,Serbian,2007
Shtip,4,13,Serbian,2007
Berovo ,0,0,Vlachs,2007
Bitola,14,18,Vlachs,2007
Valandovo,0,0,Vlachs,2007
Veles,1,1,Vlachs,2007
Vinica,1,3,Vlachs,2007
Gevgelija,0,0,Vlachs,2007
Gostivar,0,0,Vlachs,2007
Debar,0,0,Vlachs,2007
Delchevo,0,0,Vlachs,2007
Demir Hisar,0,0,Vlachs,2007
Kavadarci,0,0,Vlachs,2007
Kichevo,0,1,Vlachs,2007
Kochani,3,9,Vlachs,2007
Kratovo,0,0,Vlachs,2007
Kriva Palanka,0,0,Vlachs,2007
Krushevo,47,98,Vlachs,2007
Kumanovo,2,2,Vlachs,2007
Makedonski Brod,0,0,Vlachs,2007
Negotino,0,0,Vlachs,2007
Ohrid,1,0,Vlachs,2007
Prilep,0,1,Vlachs,2007
Probishtip,0,0,Vlachs,2007
Radovish,0,1,Vlachs,2007
Resen,0,0,Vlachs,2007
Sveti Nikole,5,5,Vlachs,2007
Skopje,8,7,Vlachs,2007
Struga,4,9,Vlachs,2007
Strumica,0,0,Vlachs,2007
Tetovo,0,0,Vlachs,2007
Shtip,53,152,Vlachs,2007
Berovo ,0,0,Bosniak,2007
Bitola,0,0,Bosniak,2007
Valandovo,0,0,Bosniak,2007
Veles,47,58,Bosniak,2007
Vinica,0,0,Bosniak,2007
Gevgelija,0,0,Bosniak,2007
Gostivar,0,0,Bosniak,2007
Debar,1,0,Bosniak,2007
Delchevo,0,0,Bosniak,2007
Demir Hisar,0,0,Bosniak,2007
Kavadarci,0,0,Bosniak,2007
Kichevo,1,1,Bosniak,2007
Kochani,0,0,Bosniak,2007
Kratovo,0,0,Bosniak,2007
Kriva Palanka,0,0,Bosniak,2007
Krushevo,2,1,Bosniak,2007
Kumanovo,1,0,Bosniak,2007
Makedonski Brod,0,0,Bosniak,2007
Negotino,0,0,Bosniak,2007
Ohrid,0,0,Bosniak,2007
Prilep,34,39,Bosniak,2007
Probishtip,0,0,Bosniak,2007
Radovish,0,0,Bosniak,2007
Resen,1,0,Bosniak,2007
Sveti Nikole,0,0,Bosniak,2007
Skopje,25,31,Bosniak,2007
Struga,0,1,Bosniak,2007
Strumica,0,0,Bosniak,2007
Tetovo,1,1,Bosniak,2007
Shtip,0,0,Bosniak,2007
Berovo ,8,8,Other,2007
Bitola,135,178,Other,2007
Valandovo,4,9,Other,2007
Veles,404,497,Other,2007
Vinica,7,8,Other,2007
Gevgelija,3,7,Other,2007
Gostivar,273,760,Other,2007
Debar,276,716,Other,2007
Delchevo,9,3,Other,2007
Demir Hisar,0,0,Other,2007
Kavadarci,8,23,Other,2007
Kichevo,50,122,Other,2007
Kochani,7,19,Other,2007
Kratovo,3,2,Other,2007
Kriva Palanka,9,8,Other,2007
Krushevo,17,42,Other,2007
Kumanovo,41,51,Other,2007
Makedonski Brod,10,11,Other,2007
Negotino,21,26,Other,2007
Ohrid,298,274,Other,2007
Prilep,272,297,Other,2007
Probishtip,5,5,Other,2007
Radovish,18,16,Other,2007
Resen,30,38,Other,2007
Sveti Nikole,4,8,Other,2007
Skopje,1080,1085,Other,2007
Struga,249,704,Other,2007
Strumica,22,35,Other,2007
Tetovo,49,94,Other,2007
Shtip,74,45,Other,2007
