Municipality,Women,Men,Ethnicity,Year
Berovo ,1582,2111,Macedonian,2007
Bitola,7689,8819,Macedonian,2007
Valandovo,713,1351,Macedonian,2007
Veles,5368,6201,Macedonian,2007
Vinica,986,1739,Macedonian,2007
Gevgelija,1320,2057,Macedonian,2007
Gostivar,1660,2058,Macedonian,2007
Debar,41,44,Macedonian,2007
Delchevo,1443,2357,Macedonian,2007
Demir Hisar,815,1077,Macedonian,2007
Kavadarci,3710,4624,Macedonian,2007
Kichevo,1856,1821,Macedonian,2007
Kochani,3569,6112,Macedonian,2007
Kratovo,1105,1312,Macedonian,2007
Kriva Palanka,3193,3432,Macedonian,2007
Krushevo,635,909,Macedonian,2007
Kumanovo,7373,8875,Macedonian,2007
Makedonski Brod,895,1233,Macedonian,2007
Negotino,1783,2722,Macedonian,2007
Ohrid,4761,5140,Macedonian,2007
Prilep,8881,11286,Macedonian,2007
Probishtip,1579,1779,Macedonian,2007
Radovish,1943,3358,Macedonian,2007
Resen,952,1348,Macedonian,2007
Sveti Nikole,1577,2801,Macedonian,2007
Skopje,25005,22934,Macedonian,2007
Struga,1701,2497,Macedonian,2007
Strumica,6845,9896,Macedonian,2007
Tetovo,1787,2694,Macedonian,2007
Shtip,2193,4424,Macedonian,2007
Berovo ,0,0,Albanian,2007
Bitola,441,586,Albanian,2007
Valandovo,0,2,Albanian,2007
Veles,431,614,Albanian,2007
Vinica,0,0,Albanian,2007
Gevgelija,1,3,Albanian,2007
Gostivar,2752,7105,Albanian,2007
Debar,736,909,Albanian,2007
Delchevo,0,0,Albanian,2007
Demir Hisar,20,38,Albanian,2007
Kavadarci,3,1,Albanian,2007
Kichevo,1363,1939,Albanian,2007
Kochani,0,2,Albanian,2007
Kratovo,0,1,Albanian,2007
Kriva Palanka,0,0,Albanian,2007
Krushevo,55,327,Albanian,2007
Kumanovo,4482,7068,Albanian,2007
Makedonski Brod,2,2,Albanian,2007
Negotino,4,1,Albanian,2007
Ohrid,268,279,Albanian,2007
Prilep,217,436,Albanian,2007
Probishtip,0,0,Albanian,2007
Radovish,0,0,Albanian,2007
Resen,94,160,Albanian,2007
Sveti Nikole,5,11,Albanian,2007
Skopje,7534,17950,Albanian,2007
Struga,1252,2362,Albanian,2007
Strumica,2,0,Albanian,2007
Tetovo,8539,15653,Albanian,2007
Shtip,1,2,Albanian,2007
Berovo ,41,72,Turkish,2007
Bitola,322,337,Turkish,2007
Valandovo,169,269,Turkish,2007
Veles,317,359,Turkish,2007
Vinica,11,28,Turkish,2007
Gevgelija,24,42,Turkish,2007
Gostivar,231,1110,Turkish,2007
Debar,180,605,Turkish,2007
Delchevo,12,11,Turkish,2007
Demir Hisar,4,6,Turkish,2007
Kavadarci,7,11,Turkish,2007
Kichevo,352,582,Turkish,2007
Kochani,7,17,Turkish,2007
Kratovo,2,0,Turkish,2007
Kriva Palanka,0,0,Turkish,2007
Krushevo,8,53,Turkish,2007
Kumanovo,23,67,Turkish,2007
Makedonski Brod,210,256,Turkish,2007
Negotino,44,57,Turkish,2007
Ohrid,203,261,Turkish,2007
Prilep,313,726,Turkish,2007
Probishtip,0,0,Turkish,2007
Radovish,285,909,Turkish,2007
Resen,136,219,Turkish,2007
Sveti Nikole,28,44,Turkish,2007
Skopje,437,620,Turkish,2007
Struga,62,79,Turkish,2007
Strumica,1057,1723,Turkish,2007
Tetovo,81,185,Turkish,2007
Shtip,99,324,Turkish,2007
Berovo ,105,159,Roma,2007
Bitola,512,470,Roma,2007
Valandovo,2,2,Roma,2007
Veles,127,166,Roma,2007
Vinica,155,224,Roma,2007
Gevgelija,4,8,Roma,2007
Gostivar,245,502,Roma,2007
Debar,165,299,Roma,2007
Delchevo,65,105,Roma,2007
Demir Hisar,0,0,Roma,2007
Kavadarci,66,176,Roma,2007
Kichevo,210,412,Roma,2007
Kochani,301,457,Roma,2007
Kratovo,31,41,Roma,2007
Kriva Palanka,96,124,Roma,2007
Krushevo,7,12,Roma,2007
Kumanovo,591,870,Roma,2007
