Municipality,Women,Men,Ethnicity,Year
Berovo ,566,530,Macedonian,2021
Bitola,2037,1764,Macedonian,2021
Valandovo,268,327,Macedonian,2021
Veles,1458,1452,Macedonian,2021
Vinica,200,282,Macedonian,2021
Gevgelija,698,626,Macedonian,2021
Gostivar,742,716,Macedonian,2021
Debar,124,44,Macedonian,2021
Delchevo,661,572,Macedonian,2021
Demir Hisar,415,350,Macedonian,2021
Kavadarci,861,644,Macedonian,2021
Kichevo,565,571,Macedonian,2021
Kochani,1102,1207,Macedonian,2021
Kratovo,309,240,Macedonian,2021
Kriva Palanka,1310,1021,Macedonian,2021
Krushevo,321,288,Macedonian,2021
Kumanovo,2518,2105,Macedonian,2021
Makedonski Brod,396,449,Macedonian,2021
Negotino,484,516,Macedonian,2021
Ohrid,1297,1360,Macedonian,2021
Prilep,2629,2940,Macedonian,2021
Probishtip,530,464,Macedonian,2021
Radovish,608,527,Macedonian,2021
Resen,434,540,Macedonian,2021
Sveti Nikole,645,647,Macedonian,2021
Skopje,4082,4018,Macedonian,2021
Struga,792,777,Macedonian,2021
Strumica,1417,1385,Macedonian,2021
Tetovo,1630,1355,Macedonian,2021
Shtip,1120,996,Macedonian,2021
Berovo ,2,0,Albanian,2021
Bitola,163,138,Albanian,2021
Valandovo,2,1,Albanian,2021
Veles,424,407,Albanian,2021
Vinica,0,0,Albanian,2021
Gevgelija,6,3,Albanian,2021
Gostivar,2933,2760,Albanian,2021
Debar,557,483,Albanian,2021
Delchevo,5,0,Albanian,2021
Demir Hisar,16,12,Albanian,2021
Kavadarci,3,0,Albanian,2021
Kichevo,609,589,Albanian,2021
Kochani,1,0,Albanian,2021
Kratovo,1,0,Albanian,2021
Kriva Palanka,1,0,Albanian,2021
Krushevo,154,182,Albanian,2021
Kumanovo,4110,3654,Albanian,2021
Makedonski Brod,15,0,Albanian,2021
Negotino,5,0,Albanian,2021
Ohrid,87,102,Albanian,2021
Prilep,213,192,Albanian,2021
