Municipality,Women,Men,Ethnicity,Year
Tetovo,8,7,Serbian,2022
Shtip,5,2,Serbian,2022
Berovo ,0,0,Vlachs,2022
Bitola,7,4,Vlachs,2022
Valandovo,0,0,Vlachs,2022
Veles,0,0,Vlachs,2022
Vinica,0,2,Vlachs,2022
Gevgelija,0,0,Vlachs,2022
Gostivar,0,0,Vlachs,2022
Debar,0,0,Vlachs,2022
Delchevo,0,0,Vlachs,2022
Demir Hisar,0,0,Vlachs,2022
Kavadarci,0,1,Vlachs,2022
Kichevo,0,1,Vlachs,2022
Kochani,1,1,Vlachs,2022
Kratovo,0,0,Vlachs,2022
Kriva Palanka,0,0,Vlachs,2022
Krushevo,29,18,Vlachs,2022
Kumanovo,0,0,Vlachs,2022
Makedonski Brod,0,0,Vlachs,2022
Negotino,0,0,Vlachs,2022
Ohrid,2,0,Vlachs,2022
Prilep,1,0,Vlachs,2022
Probishtip,0,0,Vlachs,2022
Radovish,0,0,Vlachs,2022
Resen,0,0,Vlachs,2022
Sveti Nikole,1,1,Vlachs,2022
Skopje,5,6,Vlachs,2022
Struga,1,1,Vlachs,2022
Strumica,0,0,Vlachs,2022
Tetovo,0,0,Vlachs,2022
Shtip,18,25,Vlachs,2022
Berovo ,0,0,Bosniak,2022
Bitola,0,1,Bosniak,2022
Valandovo,1,0,Bosniak,2022
Veles,34,30,Bosniak,2022
Vinica,0,0,Bosniak,2022
Gevgelija,0,0,Bosniak,2022
Gostivar,3,0,Bosniak,2022
Debar,1,0,Bosniak,2022
Delchevo,0,0,Bosniak,2022
Demir Hisar,0,0,Bosniak,2022
Kavadarci,1,0,Bosniak,2022
Kichevo,0,2,Bosniak,2022
Kochani,0,0,Bosniak,2022
Kratovo,0,0,Bosniak,2022
Kriva Palanka,0,0,Bosniak,2022
Krushevo,5,0,Bosniak,2022
Kumanovo,1,0,Bosniak,2022
Makedonski Brod,0,0,Bosniak,2022
Negotino,0,0,Bosniak,2022
Ohrid,0,0,Bosniak,2022
Prilep,74,70,Bosniak,2022
Probishtip,0,0,Bosniak,2022
Radovish,0,0,Bosniak,2022
Resen,0,0,Bosniak,2022
Sveti Nikole,0,1,Bosniak,2022
Skopje,76,54,Bosniak,2022
Struga,1,1,Bosniak,2022
Strumica,0,0,Bosniak,2022
Tetovo,3,0,Bosniak,2022
Shtip,2,0,Bosniak,2022
Berovo ,6,1,Other,2022
Bitola,46,54,Other,2022
Valandovo,1,2,Other,2022
Veles,110,132,Other,2022
Vinica,0,1,Other,2022
Gevgelija,1,1,Other,2022
Gostivar,204,202,Other,2022
Debar,214,226,Other,2022
Delchevo,3,0,Other,2022
Demir Hisar,0,0,Other,2022
Kavadarci,8,5,Other,2022
Kichevo,22,30,Other,2022
Kochani,0,0,Other,2022
Kratovo,1,0,Other,2022
Kriva Palanka,2,0,Other,2022
Krushevo,7,12,Other,2022
Kumanovo,19,13,Other,2022
Makedonski Brod,2,0,Other,2022
Negotino,7,9,Other,2022
Ohrid,102,101,Other,2022
Prilep,28,25,Other,2022
Probishtip,2,0,Other,2022
Radovish,5,2,Other,2022
Resen,26,22,Other,2022
Sveti Nikole,2,3,Other,2022
Skopje,182,140,Other,2022
Struga,124,171,Other,2022
Strumica,5,5,Other,2022
Tetovo,30,25,Other,2022
Shtip,11,10,Other,2022
