Municipality,Women,Men,Ethnicity,Year
Berovo ,527,446,Macedonian,2022
Bitola,1676,1540,Macedonian,2022
Valandovo,247,278,Macedonian,2022
Veles,1168,1156,Macedonian,2022
Vinica,156,241,Macedonian,2022
Gevgelija,473,425,Macedonian,2022
Gostivar,672,621,Macedonian,2022
Debar,112,43,Macedonian,2022
Delchevo,568,485,Macedonian,2022
Demir Hisar,347,304,Macedonian,2022
Kavadarci,765,656,Macedonian,2022
Kichevo,524,558,Macedonian,2022
Kochani,887,1023,Macedonian,2022
Kratovo,253,220,Macedonian,2022
Kriva Palanka,1182,914,Macedonian,2022
Krushevo,290,298,Macedonian,2022
Kumanovo,2096,1752,Macedonian,2022
Makedonski Brod,401,412,Macedonian,2022
Negotino,403,412,Macedonian,2022
Ohrid,1195,1293,Macedonian,2022
Prilep,2349,2559,Macedonian,2022
Probishtip,388,382,Macedonian,2022
Radovish,473,431,Macedonian,2022
Resen,376,443,Macedonian,2022
Sveti Nikole,450,525,Macedonian,2022
Skopje,2946,2597,Macedonian,2022
Struga,663,651,Macedonian,2022
Strumica,1270,1268,Macedonian,2022
Tetovo,1389,1196,Macedonian,2022
Shtip,922,889,Macedonian,2022
Berovo ,2,0,Albanian,2022
Bitola,133,105,Albanian,2022
Valandovo,2,1,Albanian,2022
Veles,394,354,Albanian,2022
Vinica,0,0,Albanian,2022
Gevgelija,4,0,Albanian,2022
Gostivar,2708,2529,Albanian,2022
Debar,511,441,Albanian,2022
Delchevo,6,0,Albanian,2022
Demir Hisar,11,11,Albanian,2022
Kavadarci,6,0,Albanian,2022
Kichevo,692,665,Albanian,2022
Kochani,1,0,Albanian,2022
Kratovo,0,0,Albanian,2022
Kriva Palanka,1,0,Albanian,2022
Krushevo,145,185,Albanian,2022
Kumanovo,3728,3284,Albanian,2022
Makedonski Brod,14,0,Albanian,2022
Negotino,2,0,Albanian,2022
Ohrid,89,97,Albanian,2022
Prilep,210,189,Albanian,2022
Probishtip,0,0,Albanian,2022
Radovish,5,0,Albanian,2022
Resen,52,65,Albanian,2022
Sveti Nikole,2,2,Albanian,2022
Skopje,6213,5792,Albanian,2022
Struga,694,714,Albanian,2022
Strumica,0,0,Albanian,2022
Tetovo,5455,5375,Albanian,2022
Shtip,3,1,Albanian,2022
Berovo ,19,14,Turkish,2022
Bitola,87,50,Turkish,2022
Valandovo,71,99,Turkish,2022
Veles,116,108,Turkish,2022
Vinica,6,7,Turkish,2022
Gevgelija,15,21,Turkish,2022
Gostivar,474,476,Turkish,2022
Debar,218,206,Turkish,2022
Delchevo,3,3,Turkish,2022
Demir Hisar,2,0,Turkish,2022
Kavadarci,10,5,Turkish,2022
Kichevo,242,209,Turkish,2022
Kochani,14,9,Turkish,2022
Kratovo,0,0,Turkish,2022
Kriva Palanka,1,0,Turkish,2022
Krushevo,25,15,Turkish,2022
Kumanovo,8,13,Turkish,2022
Makedonski Brod,208,182,Turkish,2022
Negotino,16,13,Turkish,2022
Ohrid,75,88,Turkish,2022
Prilep,144,189,Turkish,2022
Probishtip,1,0,Turkish,2022
Radovish,561,491,Turkish,2022
Resen,59,80,Turkish,2022
Sveti Nikole,7,5,Turkish,2022
Skopje,147,188,Turkish,2022
Struga,42,19,Turkish,2022
Strumica,1150,1066,Turkish,2022
Tetovo,39,41,Turkish,2022
Shtip,65,70,Turkish,2022
Berovo ,82,75,Roma,2022
Bitola,419,425,Roma,2022
Valandovo,5,1,Roma,2022
Veles,112,102,Roma,2022
Vinica,143,129,Roma,2022
Gevgelija,5,8,Roma,2022
Gostivar,390,384,Roma,2022
Debar,189,222,Roma,2022
Delchevo,55,55,Roma,2022
Demir Hisar,0,0,Roma,2022
Kavadarci,106,111,Roma,2022
Kichevo,309,315,Roma,2022
Kochani,222,215,Roma,2022
Kratovo,9,16,Roma,2022
Kriva Palanka,56,48,Roma,2022
Krushevo,5,6,Roma,2022
Kumanovo,443,454,Roma,2022
Makedonski Brod,0,0,Roma,2022
Negotino,26,27,Roma,2022
Ohrid,47,41,Roma,2022
Prilep,699,654,Roma,2022
Probishtip,2,1,Roma,2022
Radovish,28,20,Roma,2022
Resen,64,63,Roma,2022
Sveti Nikole,8,4,Roma,2022
Skopje,1902,1647,Roma,2022
Struga,26,26,Roma,2022
Strumica,33,12,Roma,2022
Tetovo,150,178,Roma,2022
Shtip,326,358,Roma,2022
Berovo ,3,0,Serbian,2022
Bitola,7,3,Serbian,2022
Valandovo,9,23,Serbian,2022
Veles,2,3,Serbian,2022
Vinica,0,1,Serbian,2022
Gevgelija,7,19,Serbian,2022
Gostivar,3,2,Serbian,2022
Debar,0,0,Serbian,2022
Delchevo,0,1,Serbian,2022
Demir Hisar,1,0,Serbian,2022
Kavadarci,7,10,Serbian,2022
Kichevo,1,0,Serbian,2022
Kochani,0,0,Serbian,2022
Kratovo,0,0,Serbian,2022
Kriva Palanka,3,1,Serbian,2022
Krushevo,0,0,Serbian,2022
Kumanovo,140,192,Serbian,2022
Makedonski Brod,0,2,Serbian,2022
Negotino,1,5,Serbian,2022
Ohrid,3,6,Serbian,2022
Prilep,3,2,Serbian,2022
Probishtip,0,0,Serbian,2022
Radovish,0,1,Serbian,2022
Resen,1,5,Serbian,2022
Sveti Nikole,0,0,Serbian,2022
Skopje,47,46,Serbian,2022
Struga,1,0,Serbian,2022
Strumica,3,1,Serbian,2022
