Municipality,Women,Men,Ethnicity,Year
Berovo ,4,2,Serbian,2008
Bitola,14,24,Serbian,2008
Valandovo,55,136,Serbian,2008
Veles,13,43,Serbian,2008
Vinica,2,1,Serbian,2008
Gevgelija,46,70,Serbian,2008
Gostivar,13,13,Serbian,2008
Debar,4,2,Serbian,2008
Delchevo,5,1,Serbian,2008
Demir Hisar,0,0,Serbian,2008
Kavadarci,18,41,Serbian,2008
Kichevo,3,10,Serbian,2008
Kochani,9,3,Serbian,2008
Kratovo,1,0,Serbian,2008
Kriva Palanka,7,2,Serbian,2008
Krushevo,0,3,Serbian,2008
Kumanovo,563,875,Serbian,2008
Makedonski Brod,0,1,Serbian,2008
Negotino,9,25,Serbian,2008
Ohrid,18,14,Serbian,2008
Prilep,7,3,Serbian,2008
Probishtip,0,1,Serbian,2008
Radovish,4,10,Serbian,2008
Resen,6,12,Serbian,2008
Sveti Nikole,6,5,Serbian,2008
Skopje,303,354,Serbian,2008
Struga,4,10,Serbian,2008
Strumica,8,11,Serbian,2008
Tetovo,16,29,Serbian,2008
Shtip,2,11,Serbian,2008
Berovo ,0,0,Vlachs,2008
Bitola,11,16,Vlachs,2008
Valandovo,0,0,Vlachs,2008
Veles,1,2,Vlachs,2008
Vinica,0,1,Vlachs,2008
Gevgelija,0,0,Vlachs,2008
Gostivar,0,0,Vlachs,2008
Debar,0,0,Vlachs,2008
Delchevo,0,0,Vlachs,2008
Demir Hisar,0,0,Vlachs,2008
Kavadarci,0,1,Vlachs,2008
Kichevo,0,2,Vlachs,2008
Kochani,2,6,Vlachs,2008
Kratovo,0,0,Vlachs,2008
Kriva Palanka,0,0,Vlachs,2008
Krushevo,38,86,Vlachs,2008
Kumanovo,2,3,Vlachs,2008
Makedonski Brod,0,0,Vlachs,2008
Negotino,0,0,Vlachs,2008
Ohrid,1,0,Vlachs,2008
Prilep,0,0,Vlachs,2008
Probishtip,0,0,Vlachs,2008
Radovish,0,2,Vlachs,2008
Resen,0,0,Vlachs,2008
Sveti Nikole,5,2,Vlachs,2008
Skopje,6,6,Vlachs,2008
Struga,3,5,Vlachs,2008
Strumica,0,0,Vlachs,2008
Tetovo,0,0,Vlachs,2008
Shtip,46,127,Vlachs,2008
Berovo ,0,0,Bosniak,2008
Bitola,0,0,Bosniak,2008
Valandovo,0,0,Bosniak,2008
Veles,57,76,Bosniak,2008
Vinica,0,0,Bosniak,2008
Gevgelija,0,0,Bosniak,2008
Gostivar,0,0,Bosniak,2008
Debar,1,1,Bosniak,2008
Delchevo,0,0,Bosniak,2008
Demir Hisar,0,0,Bosniak,2008
Kavadarci,0,0,Bosniak,2008
Kichevo,0,1,Bosniak,2008
Kochani,0,0,Bosniak,2008
Kratovo,0,0,Bosniak,2008
Kriva Palanka,0,0,Bosniak,2008
Krushevo,2,1,Bosniak,2008
Kumanovo,1,0,Bosniak,2008
Makedonski Brod,0,0,Bosniak,2008
Negotino,0,0,Bosniak,2008
Ohrid,0,0,Bosniak,2008
Prilep,46,49,Bosniak,2008
Probishtip,0,0,Bosniak,2008
Radovish,0,1,Bosniak,2008
Resen,1,0,Bosniak,2008
Sveti Nikole,0,0,Bosniak,2008
Skopje,40,50,Bosniak,2008
Struga,2,2,Bosniak,2008
Strumica,0,0,Bosniak,2008
Tetovo,1,2,Bosniak,2008
Shtip,0,0,Bosniak,2008
Berovo ,7,6,Other,2008
Bitola,136,165,Other,2008
Valandovo,4,11,Other,2008
Veles,390,503,Other,2008
Vinica,8,8,Other,2008
Gevgelija,2,5,Other,2008
Gostivar,260,660,Other,2008
Debar,287,714,Other,2008
Delchevo,7,3,Other,2008
Demir Hisar,0,0,Other,2008
Kavadarci,4,18,Other,2008
Kichevo,56,119,Other,2008
Kochani,6,19,Other,2008
Kratovo,3,2,Other,2008
Kriva Palanka,8,8,Other,2008
Krushevo,13,35,Other,2008
Kumanovo,36,47,Other,2008
Makedonski Brod,10,10,Other,2008
Negotino,26,22,Other,2008
Ohrid,287,256,Other,2008
Prilep,265,276,Other,2008
Probishtip,6,5,Other,2008
Radovish,15,14,Other,2008
Resen,35,42,Other,2008
Sveti Nikole,5,10,Other,2008
Skopje,1046,990,Other,2008
Struga,241,693,Other,2008
Strumica,26,32,Other,2008
Tetovo,50,108,Other,2008
Shtip,71,38,Other,2008
