Municipality,Women,Men,Ethnicity,Year
Shtip,2,0,Bosniak,2020
Berovo ,5,1,Other,2020
Bitola,61,59,Other,2020
Valandovo,1,4,Other,2020
Veles,134,167,Other,2020
Vinica,1,4,Other,2020
Gevgelija,4,1,Other,2020
Gostivar,256,251,Other,2020
Debar,295,283,Other,2020
Delchevo,2,1,Other,2020
Demir Hisar,0,0,Other,2020
Kavadarci,8,8,Other,2020
Kichevo,25,34,Other,2020
Kochani,4,1,Other,2020
Kratovo,1,0,Other,2020
Kriva Palanka,4,1,Other,2020
Krushevo,11,14,Other,2020
Kumanovo,21,17,Other,2020
Makedonski Brod,2,0,Other,2020
Negotino,5,12,Other,2020
Ohrid,138,118,Other,2020
Prilep,27,29,Other,2020
Probishtip,4,0,Other,2020
Radovish,7,3,Other,2020
Resen,35,27,Other,2020
Sveti Nikole,1,5,Other,2020
Skopje,262,203,Other,2020
Struga,184,254,Other,2020
Strumica,8,7,Other,2020
Tetovo,45,32,Other,2020
Shtip,21,15,Other,2020
