Municipality,Women,Men,Ethnicity,Year
Struga,0,1,Bosniak,2014
Strumica,0,0,Bosniak,2014
Tetovo,1,4,Bosniak,2014
Shtip,0,0,Bosniak,2014
Berovo ,3,1,Other,2014
Bitola,48,43,Other,2014
Valandovo,2,4,Other,2014
Veles,37,115,Other,2014
Vinica,1,2,Other,2014
Gevgelija,2,2,Other,2014
Gostivar,95,337,Other,2014
Debar,71,408,Other,2014
Delchevo,1,1,Other,2014
Demir Hisar,0,0,Other,2014
Kavadarci,14,10,Other,2014
Kichevo,12,50,Other,2014
Kochani,1,5,Other,2014
Kratovo,1,0,Other,2014
Kriva Palanka,6,1,Other,2014
Krushevo,9,13,Other,2014
Kumanovo,10,13,Other,2014
Makedonski Brod,0,1,Other,2014
Negotino,8,14,Other,2014
Ohrid,101,151,Other,2014
Prilep,14,39,Other,2014
Probishtip,1,2,Other,2014
Radovish,0,0,Other,2014
Resen,17,28,Other,2014
Sveti Nikole,1,3,Other,2014
Skopje,151,182,Other,2014
Struga,59,155,Other,2014
Strumica,0,3,Other,2014
Tetovo,15,45,Other,2014
Shtip,6,9,Other,2014
