Municipality,Women,Men,Ethnicity,Year
Kochani,0,0,Bosniak,2016
Kratovo,0,1,Bosniak,2016
Kriva Palanka,0,0,Bosniak,2016
Krushevo,8,2,Bosniak,2016
Kumanovo,0,0,Bosniak,2016
Makedonski Brod,0,0,Bosniak,2016
Negotino,0,0,Bosniak,2016
Ohrid,0,0,Bosniak,2016
Prilep,18,37,Bosniak,2016
Probishtip,0,0,Bosniak,2016
Radovish,0,0,Bosniak,2016
Resen,0,0,Bosniak,2016
Sveti Nikole,1,2,Bosniak,2016
Skopje,73,59,Bosniak,2016
Struga,0,1,Bosniak,2016
Strumica,0,0,Bosniak,2016
Tetovo,0,3,Bosniak,2016
Shtip,0,0,Bosniak,2016
Berovo ,3,1,Other,2016
Bitola,42,50,Other,2016
Valandovo,2,4,Other,2016
Veles,47,130,Other,2016
Vinica,0,1,Other,2016
Gevgelija,0,1,Other,2016
Gostivar,81,299,Other,2016
Debar,73,301,Other,2016
Delchevo,0,0,Other,2016
Demir Hisar,0,0,Other,2016
Kavadarci,10,8,Other,2016
Kichevo,14,40,Other,2016
Kochani,1,1,Other,2016
Kratovo,0,0,Other,2016
Kriva Palanka,6,1,Other,2016
Krushevo,8,12,Other,2016
Kumanovo,13,11,Other,2016
Makedonski Brod,0,1,Other,2016
Negotino,8,10,Other,2016
Ohrid,96,121,Other,2016
Prilep,21,27,Other,2016
Probishtip,3,1,Other,2016
Radovish,0,0,Other,2016
Resen,15,23,Other,2016
Sveti Nikole,1,2,Other,2016
Skopje,133,121,Other,2016
Struga,72,158,Other,2016
Strumica,0,4,Other,2016
Tetovo,20,42,Other,2016
Shtip,9,8,Other,2016
