Municipality,Women,Men,Ethnicity,Year
Berovo ,437,614,Macedonian,2016
Bitola,2822,2541,Macedonian,2016
Valandovo,189,288,Macedonian,2016
Veles,1332,1558,Macedonian,2016
Vinica,255,318,Macedonian,2016
Gevgelija,404,509,Macedonian,2016
Gostivar,738,899,Macedonian,2016
Debar,26,30,Macedonian,2016
Delchevo,501,647,Macedonian,2016
Demir Hisar,514,506,Macedonian,2016
Kavadarci,1193,1094,Macedonian,2016
Kichevo,883,807,Macedonian,2016
Kochani,818,1369,Macedonian,2016
Kratovo,368,377,Macedonian,2016
Kriva Palanka,1551,1407,Macedonian,2016
Krushevo,283,374,Macedonian,2016
Kumanovo,2487,2658,Macedonian,2016
Makedonski Brod,458,486,Macedonian,2016
Negotino,673,741,Macedonian,2016
Ohrid,1547,1689,Macedonian,2016
Prilep,3147,3464,Macedonian,2016
Probishtip,524,710,Macedonian,2016
Radovish,589,731,Macedonian,2016
Resen,530,615,Macedonian,2016
Sveti Nikole,511,744,Macedonian,2016
Skopje,4031,4017,Macedonian,2016
Struga,805,958,Macedonian,2016
Strumica,1148,1291,Macedonian,2016
Tetovo,1469,1730,Macedonian,2016
Shtip,708,950,Macedonian,2016
Berovo ,0,0,Albanian,2016
Bitola,97,114,Albanian,2016
Valandovo,0,1,Albanian,2016
Veles,46,238,Albanian,2016
Vinica,0,0,Albanian,2016
Gevgelija,0,1,Albanian,2016
Gostivar,931,2216,Albanian,2016
Debar,268,467,Albanian,2016
Delchevo,2,0,Albanian,2016
Demir Hisar,10,10,Albanian,2016
Kavadarci,4,0,Albanian,2016
Kichevo,372,631,Albanian,2016
Kochani,0,0,Albanian,2016
Kratovo,0,0,Albanian,2016
Kriva Palanka,1,0,Albanian,2016
Krushevo,27,175,Albanian,2016
Kumanovo,889,2963,Albanian,2016
Makedonski Brod,5,0,Albanian,2016
Negotino,3,0,Albanian,2016
Ohrid,58,75,Albanian,2016
Prilep,53,107,Albanian,2016
Probishtip,0,0,Albanian,2016
Radovish,0,0,Albanian,2016
Resen,34,62,Albanian,2016
Sveti Nikole,1,2,Albanian,2016
Skopje,1594,3602,Albanian,2016
Struga,343,594,Albanian,2016
Strumica,1,0,Albanian,2016
Tetovo,3042,7041,Albanian,2016
Shtip,1,0,Albanian,2016
Berovo ,8,27,Turkish,2016
Bitola,79,65,Turkish,2016
Valandovo,49,69,Turkish,2016
Veles,51,106,Turkish,2016
Vinica,3,17,Turkish,2016
Gevgelija,6,10,Turkish,2016
Gostivar,147,463,Turkish,2016
Debar,44,219,Turkish,2016
Delchevo,0,3,Turkish,2016
Demir Hisar,2,0,Turkish,2016
Kavadarci,9,3,Turkish,2016
Kichevo,119,250,Turkish,2016
Kochani,3,4,Turkish,2016
Kratovo,0,0,Turkish,2016
Kriva Palanka,0,0,Turkish,2016
Krushevo,3,18,Turkish,2016
Kumanovo,4,17,Turkish,2016
Makedonski Brod,43,185,Turkish,2016
Negotino,13,12,Turkish,2016
Ohrid,57,71,Turkish,2016
Prilep,47,105,Turkish,2016
Probishtip,0,0,Turkish,2016
Radovish,127,207,Turkish,2016
Resen,35,83,Turkish,2016
Sveti Nikole,3,5,Turkish,2016
Skopje,72,171,Turkish,2016
Struga,18,24,Turkish,2016
Strumica,162,500,Turkish,2016
Tetovo,38,63,Turkish,2016
Shtip,22,34,Turkish,2016
Berovo ,51,86,Roma,2016
Bitola,205,229,Roma,2016
Valandovo,2,1,Roma,2016
Veles,43,73,Roma,2016
Vinica,36,119,Roma,2016
Gevgelija,4,5,Roma,2016
Gostivar,131,309,Roma,2016
Debar,54,184,Roma,2016
Delchevo,33,50,Roma,2016
Demir Hisar,0,0,Roma,2016
Kavadarci,63,68,Roma,2016
Kichevo,91,239,Roma,2016
Kochani,91,194,Roma,2016
Kratovo,9,10,Roma,2016
Kriva Palanka,42,57,Roma,2016
Krushevo,1,6,Roma,2016
Kumanovo,137,294,Roma,2016
Makedonski Brod,0,0,Roma,2016
Negotino,14,20,Roma,2016
Ohrid,32,40,Roma,2016
Prilep,331,428,Roma,2016
Probishtip,1,2,Roma,2016
Radovish,6,5,Roma,2016
Resen,14,37,Roma,2016
Sveti Nikole,2,4,Roma,2016
Skopje,685,1094,Roma,2016
Struga,14,16,Roma,2016
Strumica,1,5,Roma,2016
Tetovo,97,178,Roma,2016
Shtip,133,125,Roma,2016
Berovo ,2,2,Serbian,2016
Bitola,9,7,Serbian,2016
Valandovo,11,17,Serbian,2016
Veles,1,4,Serbian,2016
Vinica,0,0,Serbian,2016
Gevgelija,9,14,Serbian,2016
Gostivar,0,2,Serbian,2016
Debar,0,0,Serbian,2016
Delchevo,0,0,Serbian,2016
Demir Hisar,0,0,Serbian,2016
Kavadarci,6,12,Serbian,2016
Kichevo,1,0,Serbian,2016
Kochani,1,0,Serbian,2016
Kratovo,0,0,Serbian,2016
Kriva Palanka,0,2,Serbian,2016
Krushevo,1,0,Serbian,2016
Kumanovo,183,258,Serbian,2016
Makedonski Brod,0,1,Serbian,2016
Negotino,1,5,Serbian,2016
Ohrid,5,3,Serbian,2016
Prilep,3,1,Serbian,2016
Probishtip,2,3,Serbian,2016
Radovish,0,1,Serbian,2016
Resen,2,9,Serbian,2016
Sveti Nikole,0,0,Serbian,2016
Skopje,57,93,Serbian,2016
Struga,2,6,Serbian,2016
Strumica,0,2,Serbian,2016
Tetovo,13,15,Serbian,2016
Shtip,2,4,Serbian,2016
Berovo ,0,0,Vlachs,2016
Bitola,9,11,Vlachs,2016
Valandovo,0,0,Vlachs,2016
Veles,1,0,Vlachs,2016
Vinica,1,3,Vlachs,2016
Gevgelija,1,1,Vlachs,2016
Gostivar,0,0,Vlachs,2016
Debar,0,0,Vlachs,2016
Delchevo,0,0,Vlachs,2016
Demir Hisar,0,0,Vlachs,2016
Kavadarci,1,0,Vlachs,2016
Kichevo,0,1,Vlachs,2016
Kochani,1,1,Vlachs,2016
Kratovo,0,0,Vlachs,2016
Kriva Palanka,0,0,Vlachs,2016
Krushevo,40,51,Vlachs,2016
Kumanovo,2,0,Vlachs,2016
Makedonski Brod,0,0,Vlachs,2016
Negotino,0,0,Vlachs,2016
Ohrid,0,0,Vlachs,2016
Prilep,1,0,Vlachs,2016
Probishtip,0,0,Vlachs,2016
Radovish,1,0,Vlachs,2016
Resen,0,0,Vlachs,2016
Sveti Nikole,1,2,Vlachs,2016
Skopje,10,10,Vlachs,2016
Struga,1,4,Vlachs,2016
Strumica,0,0,Vlachs,2016
Tetovo,0,0,Vlachs,2016
Shtip,23,44,Vlachs,2016
Berovo ,0,0,Bosniak,2016
Bitola,1,0,Bosniak,2016
Valandovo,0,0,Bosniak,2016
Veles,14,12,Bosniak,2016
Vinica,0,0,Bosniak,2016
Gevgelija,0,0,Bosniak,2016
Gostivar,0,0,Bosniak,2016
Debar,0,0,Bosniak,2016
Delchevo,0,0,Bosniak,2016
Demir Hisar,0,0,Bosniak,2016
Kavadarci,1,0,Bosniak,2016
Kichevo,0,1,Bosniak,2016
