Municipality,Women,Men,Ethnicity,Year
Berovo ,1723,2100,Macedonian,2006
Bitola,8032,9061,Macedonian,2006
Valandovo,867,1457,Macedonian,2006
Veles,5931,6590,Macedonian,2006
Vinica,1228,1904,Macedonian,2006
Gevgelija,1323,2240,Macedonian,2006
Gostivar,1735,2093,Macedonian,2006
Debar,44,62,Macedonian,2006
Delchevo,1529,2506,Macedonian,2006
Demir Hisar,909,1073,Macedonian,2006
Kavadarci,3946,4927,Macedonian,2006
Kichevo,1890,1888,Macedonian,2006
Kochani,3920,6459,Macedonian,2006
Kratovo,1165,1365,Macedonian,2006
Kriva Palanka,2981,3682,Macedonian,2006
Krushevo,712,968,Macedonian,2006
Kumanovo,7694,9106,Macedonian,2006
Makedonski Brod,980,1266,Macedonian,2006
Negotino,2016,2793,Macedonian,2006
Ohrid,5056,5374,Macedonian,2006
Prilep,9260,11412,Macedonian,2006
Probishtip,1787,2131,Macedonian,2006
Radovish,2090,3490,Macedonian,2006
Resen,897,1269,Macedonian,2006
Sveti Nikole,1902,3117,Macedonian,2006
Skopje,25849,24705,Macedonian,2006
Struga,1848,2558,Macedonian,2006
Strumica,7245,10264,Macedonian,2006
Tetovo,1806,2573,Macedonian,2006
Shtip,2419,4797,Macedonian,2006
Berovo ,0,0,Albanian,2006
Bitola,469,588,Albanian,2006
Valandovo,0,2,Albanian,2006
Veles,404,524,Albanian,2006
Vinica,0,0,Albanian,2006
Gevgelija,2,2,Albanian,2006
Gostivar,2698,6887,Albanian,2006
Debar,849,1065,Albanian,2006
Delchevo,0,1,Albanian,2006
Demir Hisar,16,33,Albanian,2006
Kavadarci,2,0,Albanian,2006
Kichevo,1308,1957,Albanian,2006
Kochani,1,1,Albanian,2006
Kratovo,0,0,Albanian,2006
Kriva Palanka,0,0,Albanian,2006
Krushevo,82,496,Albanian,2006
Kumanovo,3987,6657,Albanian,2006
Makedonski Brod,1,2,Albanian,2006
Negotino,1,1,Albanian,2006
Ohrid,262,286,Albanian,2006
Prilep,201,323,Albanian,2006
Probishtip,0,0,Albanian,2006
Radovish,0,1,Albanian,2006
Resen,80,166,Albanian,2006
Sveti Nikole,5,12,Albanian,2006
Skopje,7192,17566,Albanian,2006
Struga,1325,2383,Albanian,2006
Strumica,1,0,Albanian,2006
Tetovo,8272,15121,Albanian,2006
Shtip,0,2,Albanian,2006
Berovo ,46,72,Turkish,2006
Bitola,351,342,Turkish,2006
Valandovo,190,286,Turkish,2006
Veles,334,348,Turkish,2006
Vinica,17,29,Turkish,2006
Gevgelija,21,45,Turkish,2006
Gostivar,255,1117,Turkish,2006
Debar,228,747,Turkish,2006
Delchevo,7,11,Turkish,2006
Demir Hisar,4,5,Turkish,2006
Kavadarci,6,10,Turkish,2006
Kichevo,331,566,Turkish,2006
Kochani,8,19,Turkish,2006
Kratovo,1,0,Turkish,2006
Kriva Palanka,0,0,Turkish,2006
Krushevo,13,63,Turkish,2006
Kumanovo,26,65,Turkish,2006
Makedonski Brod,195,250,Turkish,2006
Negotino,43,55,Turkish,2006
Ohrid,189,264,Turkish,2006
Prilep,302,651,Turkish,2006
Probishtip,0,0,Turkish,2006
Radovish,277,913,Turkish,2006
Resen,130,225,Turkish,2006
Sveti Nikole,28,46,Turkish,2006
Skopje,434,638,Turkish,2006
Struga,62,77,Turkish,2006
Strumica,1061,1716,Turkish,2006
Tetovo,98,187,Turkish,2006
Shtip,76,289,Turkish,2006
Berovo ,100,153,Roma,2006
Bitola,502,463,Roma,2006
Valandovo,2,2,Roma,2006
Veles,113,144,Roma,2006
Vinica,159,222,Roma,2006
Gevgelija,4,9,Roma,2006
Gostivar,237,490,Roma,2006
Debar,170,307,Roma,2006
Delchevo,66,102,Roma,2006
Demir Hisar,0,0,Roma,2006
Kavadarci,46,159,Roma,2006
Kichevo,202,413,Roma,2006
Kochani,279,433,Roma,2006
Kratovo,26,39,Roma,2006
Kriva Palanka,81,109,Roma,2006
Krushevo,5,10,Roma,2006
Kumanovo,521,777,Roma,2006
Makedonski Brod,0,0,Roma,2006
Negotino,31,37,Roma,2006
Ohrid,173,177,Roma,2006
Prilep,809,848,Roma,2006
Probishtip,0,4,Roma,2006
Radovish,2,8,Roma,2006
Resen,47,65,Roma,2006
Sveti Nikole,24,8,Roma,2006
Skopje,2720,3985,Roma,2006
Struga,35,63,Roma,2006
Strumica,4,4,Roma,2006
Tetovo,221,389,Roma,2006
Shtip,357,441,Roma,2006
Berovo ,3,1,Serbian,2006
Bitola,15,27,Serbian,2006
Valandovo,69,136,Serbian,2006
Veles,18,48,Serbian,2006
Vinica,0,1,Serbian,2006
Gevgelija,43,77,Serbian,2006
Gostivar,10,13,Serbian,2006
Debar,4,3,Serbian,2006
Delchevo,3,2,Serbian,2006
Demir Hisar,0,0,Serbian,2006
Kavadarci,18,40,Serbian,2006
Kichevo,5,10,Serbian,2006
Kochani,6,5,Serbian,2006
Kratovo,1,0,Serbian,2006
Kriva Palanka,4,3,Serbian,2006
Krushevo,1,6,Serbian,2006
Kumanovo,592,1070,Serbian,2006
Makedonski Brod,0,2,Serbian,2006
Negotino,8,25,Serbian,2006
Ohrid,18,19,Serbian,2006
Prilep,6,2,Serbian,2006
Probishtip,0,2,Serbian,2006
Radovish,6,12,Serbian,2006
Resen,4,16,Serbian,2006
Sveti Nikole,9,6,Serbian,2006
Skopje,355,398,Serbian,2006
Struga,6,8,Serbian,2006
Strumica,6,8,Serbian,2006
Tetovo,15,30,Serbian,2006
Shtip,8,11,Serbian,2006
Berovo ,0,0,Vlachs,2006
Bitola,14,16,Vlachs,2006
Valandovo,0,0,Vlachs,2006
Veles,1,1,Vlachs,2006
Vinica,0,3,Vlachs,2006
Gevgelija,0,0,Vlachs,2006
Gostivar,0,0,Vlachs,2006
Debar,0,0,Vlachs,2006
Delchevo,0,0,Vlachs,2006
Demir Hisar,0,0,Vlachs,2006
Kavadarci,0,0,Vlachs,2006
Kichevo,0,1,Vlachs,2006
Kochani,2,6,Vlachs,2006
Kratovo,0,0,Vlachs,2006
Kriva Palanka,0,0,Vlachs,2006
Krushevo,52,106,Vlachs,2006
Kumanovo,2,4,Vlachs,2006
Makedonski Brod,0,0,Vlachs,2006
Negotino,0,0,Vlachs,2006
Ohrid,0,1,Vlachs,2006
Prilep,0,1,Vlachs,2006
Probishtip,0,0,Vlachs,2006
Radovish,0,1,Vlachs,2006
Resen,0,0,Vlachs,2006
Sveti Nikole,4,5,Vlachs,2006
Skopje,8,10,Vlachs,2006
Struga,4,11,Vlachs,2006
Strumica,0,0,Vlachs,2006
Tetovo,0,0,Vlachs,2006
Shtip,53,158,Vlachs,2006
Berovo ,,0,Bosniak,2006
Bitola,,0,Bosniak,2006
Valandovo,,0,Bosniak,2006
Veles,,0,Bosniak,2006
Vinica,,0,Bosniak,2006
Gevgelija,,0,Bosniak,2006
Gostivar,,0,Bosniak,2006
Debar,,0,Bosniak,2006
Delchevo,,0,Bosniak,2006
Demir Hisar,,0,Bosniak,2006
Kavadarci,,0,Bosniak,2006
Kichevo,,0,Bosniak,2006
Kochani,,0,Bosniak,2006
Kratovo,,0,Bosniak,2006
Kriva Palanka,,0,Bosniak,2006
