Municipality,Women,Men,Ethnicity,Year
Krushevo,,0,Bosniak,2006
Kumanovo,,0,Bosniak,2006
Makedonski Brod,,0,Bosniak,2006
Negotino,,0,Bosniak,2006
Ohrid,,0,Bosniak,2006
Prilep,,0,Bosniak,2006
Probishtip,,0,Bosniak,2006
Radovish,,0,Bosniak,2006
Resen,,0,Bosniak,2006
Sveti Nikole,,0,Bosniak,2006
Skopje,,0,Bosniak,2006
Struga,,0,Bosniak,2006
Strumica,,0,Bosniak,2006
Tetovo,,0,Bosniak,2006
Shtip,,0,Bosniak,2006
Berovo ,10,8,Other,2006
Bitola,137,183,Other,2006
Valandovo,4,13,Other,2006
Veles,457,534,Other,2006
Vinica,6,9,Other,2006
Gevgelija,3,7,Other,2006
Gostivar,318,783,Other,2006
Debar,344,866,Other,2006
Delchevo,9,3,Other,2006
Demir Hisar,0,0,Other,2006
Kavadarci,8,24,Other,2006
Kichevo,38,122,Other,2006
Kochani,10,21,Other,2006
Kratovo,2,2,Other,2006
Kriva Palanka,8,8,Other,2006
Krushevo,61,116,Other,2006
Kumanovo,41,57,Other,2006
Makedonski Brod,9,14,Other,2006
Negotino,25,21,Other,2006
Ohrid,301,273,Other,2006
Prilep,288,299,Other,2006
Probishtip,4,6,Other,2006
Radovish,14,15,Other,2006
Resen,26,39,Other,2006
Sveti Nikole,5,10,Other,2006
Skopje,1102,1110,Other,2006
Struga,244,713,Other,2006
Strumica,22,36,Other,2006
Tetovo,49,96,Other,2006
Shtip,81,45,Other,2006
