Municipality,Women,Men,Ethnicity,Year
Berovo ,1183,1583,Macedonian,2011
Bitola,7054,7166,Macedonian,2011
Valandovo,496,935,Macedonian,2011
Veles,4696,5273,Macedonian,2011
Vinica,913,1419,Macedonian,2011
Gevgelija,1271,1606,Macedonian,2011
Gostivar,1600,1663,Macedonian,2011
Debar,60,67,Macedonian,2011
Delchevo,1653,2327,Macedonian,2011
Demir Hisar,846,895,Macedonian,2011
Kavadarci,3275,3505,Macedonian,2011
Kichevo,1752,1654,Macedonian,2011
Kochani,2809,4616,Macedonian,2011
Kratovo,913,971,Macedonian,2011
Kriva Palanka,2517,2792,Macedonian,2011
Krushevo,558,687,Macedonian,2011
Kumanovo,5582,6036,Macedonian,2011
Makedonski Brod,835,912,Macedonian,2011
Negotino,1253,1443,Macedonian,2011
Ohrid,3630,3861,Macedonian,2011
Prilep,7481,8360,Macedonian,2011
Probishtip,1143,1445,Macedonian,2011
Radovish,1755,2482,Macedonian,2011
Resen,875,1067,Macedonian,2011
Sveti Nikole,1367,2222,Macedonian,2011
Skopje,18553,16523,Macedonian,2011
Struga,1547,2066,Macedonian,2011
Strumica,5618,7296,Macedonian,2011
Tetovo,2057,3028,Macedonian,2011
Shtip,1810,2797,Macedonian,2011
Berovo ,0,0,Albanian,2011
Bitola,346,454,Albanian,2011
Valandovo,0,2,Albanian,2011
Veles,584,708,Albanian,2011
Vinica,0,0,Albanian,2011
Gevgelija,2,2,Albanian,2011
Gostivar,1893,5125,Albanian,2011
Debar,659,872,Albanian,2011
Delchevo,0,0,Albanian,2011
Demir Hisar,15,23,Albanian,2011
Kavadarci,3,1,Albanian,2011
Kichevo,970,1334,Albanian,2011
Kochani,1,0,Albanian,2011
Kratovo,0,0,Albanian,2011
Kriva Palanka,1,0,Albanian,2011
Krushevo,45,233,Albanian,2011
Kumanovo,3820,5756,Albanian,2011
Makedonski Brod,11,2,Albanian,2011
Negotino,1,0,Albanian,2011
Ohrid,176,185,Albanian,2011
Prilep,146,282,Albanian,2011
Probishtip,0,0,Albanian,2011
Radovish,1,1,Albanian,2011
Resen,66,116,Albanian,2011
Sveti Nikole,2,7,Albanian,2011
Skopje,6090,14200,Albanian,2011
Struga,1024,1945,Albanian,2011
Strumica,2,0,Albanian,2011
Tetovo,5653,12876,Albanian,2011
Shtip,1,2,Albanian,2011
Berovo ,40,61,Turkish,2011
Bitola,224,223,Turkish,2011
Valandovo,115,243,Turkish,2011
Veles,287,302,Turkish,2011
Vinica,9,19,Turkish,2011
Gevgelija,14,34,Turkish,2011
Gostivar,193,829,Turkish,2011
Debar,193,498,Turkish,2011
Delchevo,10,4,Turkish,2011
Demir Hisar,4,3,Turkish,2011
Kavadarci,7,8,Turkish,2011
Kichevo,291,461,Turkish,2011
Kochani,7,10,Turkish,2011
Kratovo,0,0,Turkish,2011
Kriva Palanka,0,0,Turkish,2011
Krushevo,11,34,Turkish,2011
Kumanovo,8,44,Turkish,2011
Makedonski Brod,174,292,Turkish,2011
Negotino,13,20,Turkish,2011
Ohrid,130,200,Turkish,2011
Prilep,202,397,Turkish,2011
Probishtip,0,0,Turkish,2011
Radovish,259,748,Turkish,2011
Resen,84,143,Turkish,2011
Sveti Nikole,18,31,Turkish,2011
Skopje,353,492,Turkish,2011
