Municipality,Women,Men,Ethnicity,Year
Struga,58,93,Turkish,2011
Strumica,943,1647,Turkish,2011
Tetovo,51,118,Turkish,2011
Shtip,88,221,Turkish,2011
Berovo ,98,115,Roma,2011
Bitola,360,317,Roma,2011
Valandovo,2,2,Roma,2011
Veles,135,140,Roma,2011
Vinica,156,185,Roma,2011
Gevgelija,5,6,Roma,2011
Gostivar,195,423,Roma,2011
Debar,162,278,Roma,2011
Delchevo,83,96,Roma,2011
Demir Hisar,0,0,Roma,2011
Kavadarci,57,120,Roma,2011
Kichevo,182,384,Roma,2011
Kochani,211,299,Roma,2011
Kratovo,22,33,Roma,2011
Kriva Palanka,84,98,Roma,2011
Krushevo,3,8,Roma,2011
Kumanovo,314,413,Roma,2011
Makedonski Brod,0,0,Roma,2011
Negotino,11,15,Roma,2011
Ohrid,145,121,Roma,2011
Prilep,785,791,Roma,2011
Probishtip,1,4,Roma,2011
Radovish,18,11,Roma,2011
Resen,29,48,Roma,2011
Sveti Nikole,14,7,Roma,2011
Skopje,2191,3109,Roma,2011
Struga,22,37,Roma,2011
Strumica,6,1,Roma,2011
Tetovo,142,296,Roma,2011
Shtip,205,245,Roma,2011
Berovo ,4,0,Serbian,2011
Bitola,5,23,Serbian,2011
Valandovo,40,111,Serbian,2011
Veles,8,37,Serbian,2011
Vinica,0,0,Serbian,2011
Gevgelija,27,55,Serbian,2011
Gostivar,7,9,Serbian,2011
Debar,3,1,Serbian,2011
Delchevo,4,3,Serbian,2011
Demir Hisar,0,0,Serbian,2011
Kavadarci,15,31,Serbian,2011
Kichevo,4,7,Serbian,2011
Kochani,3,5,Serbian,2011
Kratovo,1,0,Serbian,2011
Kriva Palanka,4,1,Serbian,2011
Krushevo,1,4,Serbian,2011
Kumanovo,453,619,Serbian,2011
Makedonski Brod,0,1,Serbian,2011
Negotino,8,8,Serbian,2011
Ohrid,13,10,Serbian,2011
Prilep,5,4,Serbian,2011
Probishtip,1,3,Serbian,2011
Radovish,4,9,Serbian,2011
Resen,1,11,Serbian,2011
Sveti Nikole,3,2,Serbian,2011
Skopje,221,258,Serbian,2011
Struga,3,9,Serbian,2011
Strumica,4,6,Serbian,2011
Tetovo,16,26,Serbian,2011
Shtip,7,9,Serbian,2011
Berovo ,0,0,Vlachs,2011
Bitola,9,15,Vlachs,2011
Valandovo,0,0,Vlachs,2011
Veles,1,0,Vlachs,2011
Vinica,0,0,Vlachs,2011
Gevgelija,0,0,Vlachs,2011
Gostivar,0,0,Vlachs,2011
Debar,0,0,Vlachs,2011
Delchevo,0,0,Vlachs,2011
Demir Hisar,0,0,Vlachs,2011
Kavadarci,0,0,Vlachs,2011
Kichevo,0,2,Vlachs,2011
Kochani,3,4,Vlachs,2011
Kratovo,0,0,Vlachs,2011
Kriva Palanka,0,0,Vlachs,2011
Krushevo,45,69,Vlachs,2011
Kumanovo,3,2,Vlachs,2011
Makedonski Brod,0,0,Vlachs,2011
Negotino,0,0,Vlachs,2011
Ohrid,1,0,Vlachs,2011
Prilep,0,0,Vlachs,2011
Probishtip,0,1,Vlachs,2011
Radovish,0,1,Vlachs,2011
Resen,0,0,Vlachs,2011
Sveti Nikole,5,5,Vlachs,2011
Skopje,7,4,Vlachs,2011
Struga,2,3,Vlachs,2011
Strumica,0,0,Vlachs,2011
Tetovo,0,0,Vlachs,2011
Shtip,35,83,Vlachs,2011
Berovo ,0,0,Bosniak,2011
Bitola,2,0,Bosniak,2011
Valandovo,0,0,Bosniak,2011
Veles,81,86,Bosniak,2011
Vinica,0,0,Bosniak,2011
Gevgelija,2,0,Bosniak,2011
Gostivar,0,0,Bosniak,2011
Debar,0,0,Bosniak,2011
Delchevo,0,0,Bosniak,2011
Demir Hisar,0,0,Bosniak,2011
Kavadarci,0,1,Bosniak,2011
Kichevo,0,1,Bosniak,2011
Kochani,0,0,Bosniak,2011
Kratovo,0,0,Bosniak,2011
Kriva Palanka,0,0,Bosniak,2011
Krushevo,3,1,Bosniak,2011
Kumanovo,0,0,Bosniak,2011
Makedonski Brod,0,1,Bosniak,2011
Negotino,0,0,Bosniak,2011
Ohrid,1,0,Bosniak,2011
Prilep,55,64,Bosniak,2011
Probishtip,0,0,Bosniak,2011
Radovish,0,0,Bosniak,2011
Resen,0,0,Bosniak,2011
Sveti Nikole,1,1,Bosniak,2011
Skopje,116,85,Bosniak,2011
Struga,0,1,Bosniak,2011
Strumica,0,0,Bosniak,2011
Tetovo,1,3,Bosniak,2011
Shtip,0,0,Bosniak,2011
Berovo ,5,5,Other,2011
Bitola,106,119,Other,2011
Valandovo,4,9,Other,2011
Veles,328,422,Other,2011
Vinica,2,7,Other,2011
Gevgelija,3,1,Other,2011
Gostivar,205,639,Other,2011
Debar,379,655,Other,2011
Delchevo,8,2,Other,2011
Demir Hisar,0,0,Other,2011
Kavadarci,7,12,Other,2011
Kichevo,45,93,Other,2011
Kochani,4,8,Other,2011
Kratovo,2,0,Other,2011
Kriva Palanka,10,8,Other,2011
Krushevo,9,29,Other,2011
Kumanovo,30,31,Other,2011
Makedonski Brod,4,3,Other,2011
Negotino,12,9,Other,2011
Ohrid,209,196,Other,2011
Prilep,162,176,Other,2011
Probishtip,3,4,Other,2011
Radovish,11,9,Other,2011
Resen,26,30,Other,2011
Sveti Nikole,2,8,Other,2011
Skopje,701,725,Other,2011
Struga,244,662,Other,2011
Strumica,19,32,Other,2011
Tetovo,34,80,Other,2011
Shtip,12,13,Other,2011
