Municipality,Women,Men,Ethnicity,Year
Valandovo,0,0,Bosniak,2009
Veles,75,88,Bosniak,2009
Vinica,0,0,Bosniak,2009
Gevgelija,0,0,Bosniak,2009
Gostivar,0,0,Bosniak,2009
Debar,0,0,Bosniak,2009
Delchevo,0,0,Bosniak,2009
Demir Hisar,0,0,Bosniak,2009
Kavadarci,0,0,Bosniak,2009
Kichevo,0,1,Bosniak,2009
Kochani,0,0,Bosniak,2009
Kratovo,0,0,Bosniak,2009
Kriva Palanka,0,0,Bosniak,2009
Krushevo,2,0,Bosniak,2009
Kumanovo,2,0,Bosniak,2009
Makedonski Brod,0,0,Bosniak,2009
Negotino,0,0,Bosniak,2009
Ohrid,0,0,Bosniak,2009
Prilep,60,60,Bosniak,2009
Probishtip,0,0,Bosniak,2009
Radovish,0,0,Bosniak,2009
Resen,1,0,Bosniak,2009
Sveti Nikole,0,0,Bosniak,2009
Skopje,78,61,Bosniak,2009
Struga,2,3,Bosniak,2009
Strumica,0,0,Bosniak,2009
Tetovo,1,2,Bosniak,2009
Shtip,1,0,Bosniak,2009
Berovo ,6,5,Other,2009
Bitola,140,144,Other,2009
Valandovo,3,8,Other,2009
Veles,391,494,Other,2009
Vinica,5,10,Other,2009
Gevgelija,7,5,Other,2009
Gostivar,274,681,Other,2009
Debar,353,619,Other,2009
Delchevo,17,2,Other,2009
Demir Hisar,0,0,Other,2009
Kavadarci,4,20,Other,2009
Kichevo,43,105,Other,2009
Kochani,6,18,Other,2009
Kratovo,1,2,Other,2009
Kriva Palanka,10,7,Other,2009
Krushevo,9,36,Other,2009
Kumanovo,38,47,Other,2009
Makedonski Brod,11,7,Other,2009
Negotino,22,22,Other,2009
Ohrid,277,244,Other,2009
Prilep,257,254,Other,2009
Probishtip,6,4,Other,2009
Radovish,16,12,Other,2009
Resen,27,37,Other,2009
Sveti Nikole,5,13,Other,2009
Skopje,987,993,Other,2009
Struga,265,745,Other,2009
Strumica,25,35,Other,2009
Tetovo,56,111,Other,2009
Shtip,72,34,Other,2009
