Municipality,Women,Men,Ethnicity,Year
Berovo ,540,541,Macedonian,2019
Bitola,1788,1707,Macedonian,2019
Valandovo,156,224,Macedonian,2019
Veles,1311,1298,Macedonian,2019
Vinica,125,206,Macedonian,2019
Gevgelija,358,443,Macedonian,2019
Gostivar,664,704,Macedonian,2019
Debar,86,47,Macedonian,2019
Delchevo,516,514,Macedonian,2019
Demir Hisar,338,353,Macedonian,2019
Kavadarci,736,586,Macedonian,2019
Kichevo,495,569,Macedonian,2019
Kochani,848,1235,Macedonian,2019
Kratovo,281,242,Macedonian,2019
Kriva Palanka,1255,963,Macedonian,2019
Krushevo,256,296,Macedonian,2019
Kumanovo,2217,2052,Macedonian,2019
Makedonski Brod,441,477,Macedonian,2019
Negotino,403,530,Macedonian,2019
Ohrid,991,1098,Macedonian,2019
Prilep,2337,2709,Macedonian,2019
Probishtip,423,514,Macedonian,2019
Radovish,471,471,Macedonian,2019
Resen,396,537,Macedonian,2019
Sveti Nikole,425,630,Macedonian,2019
Skopje,2977,2835,Macedonian,2019
Struga,760,744,Macedonian,2019
Strumica,1126,1180,Macedonian,2019
Tetovo,1349,1277,Macedonian,2019
Shtip,879,882,Macedonian,2019
Berovo ,2,0,Albanian,2019
Bitola,114,111,Albanian,2019
Valandovo,0,1,Albanian,2019
Veles,276,325,Albanian,2019
Vinica,0,0,Albanian,2019
Gevgelija,1,0,Albanian,2019
Gostivar,1745,1860,Albanian,2019
Debar,406,404,Albanian,2019
Delchevo,4,0,Albanian,2019
Demir Hisar,13,13,Albanian,2019
Kavadarci,3,0,Albanian,2019
Kichevo,415,474,Albanian,2019
Kochani,1,0,Albanian,2019
Kratovo,0,0,Albanian,2019
Kriva Palanka,1,0,Albanian,2019
Krushevo,129,163,Albanian,2019
Kumanovo,3195,3102,Albanian,2019
Makedonski Brod,12,0,Albanian,2019
Negotino,2,0,Albanian,2019
Ohrid,69,74,Albanian,2019
Prilep,138,147,Albanian,2019
Probishtip,1,0,Albanian,2019
Radovish,1,0,Albanian,2019
Resen,44,60,Albanian,2019
Sveti Nikole,1,4,Albanian,2019
Skopje,4305,4373,Albanian,2019
