Municipality,Women,Men,Ethnicity,Year
Shtip,114,143,Roma,2015
Berovo ,3,2,Serbian,2015
Bitola,7,11,Serbian,2015
Valandovo,11,23,Serbian,2015
Veles,3,3,Serbian,2015
Vinica,0,0,Serbian,2015
Gevgelija,11,18,Serbian,2015
Gostivar,1,3,Serbian,2015
Debar,0,0,Serbian,2015
Delchevo,0,1,Serbian,2015
Demir Hisar,0,0,Serbian,2015
Kavadarci,5,15,Serbian,2015
Kichevo,1,2,Serbian,2015
Kochani,0,0,Serbian,2015
Kratovo,1,0,Serbian,2015
Kriva Palanka,1,2,Serbian,2015
Krushevo,1,0,Serbian,2015
Kumanovo,197,246,Serbian,2015
Makedonski Brod,0,1,Serbian,2015
Negotino,6,6,Serbian,2015
Ohrid,5,3,Serbian,2015
Prilep,6,2,Serbian,2015
Probishtip,2,3,Serbian,2015
Radovish,0,1,Serbian,2015
Resen,1,9,Serbian,2015
Sveti Nikole,1,0,Serbian,2015
Skopje,87,132,Serbian,2015
Struga,2,5,Serbian,2015
Strumica,0,2,Serbian,2015
Tetovo,9,20,Serbian,2015
Shtip,0,3,Serbian,2015
Berovo ,1,0,Vlachs,2015
Bitola,9,14,Vlachs,2015
Valandovo,0,0,Vlachs,2015
Veles,1,0,Vlachs,2015
Vinica,1,4,Vlachs,2015
Gevgelija,0,2,Vlachs,2015
Gostivar,0,0,Vlachs,2015
Debar,0,0,Vlachs,2015
Delchevo,0,0,Vlachs,2015
Demir Hisar,0,0,Vlachs,2015
Kavadarci,1,0,Vlachs,2015
Kichevo,0,2,Vlachs,2015
Kochani,4,4,Vlachs,2015
Kratovo,0,0,Vlachs,2015
Kriva Palanka,0,0,Vlachs,2015
Krushevo,45,61,Vlachs,2015
Kumanovo,2,3,Vlachs,2015
Makedonski Brod,0,0,Vlachs,2015
Negotino,0,0,Vlachs,2015
Ohrid,0,1,Vlachs,2015
Prilep,0,0,Vlachs,2015
Probishtip,0,0,Vlachs,2015
Radovish,0,0,Vlachs,2015
Resen,0,0,Vlachs,2015
Sveti Nikole,5,2,Vlachs,2015
Skopje,12,17,Vlachs,2015
Struga,1,6,Vlachs,2015
Strumica,0,0,Vlachs,2015
Tetovo,0,0,Vlachs,2015
Shtip,29,37,Vlachs,2015
Berovo ,0,0,Bosniak,2015
Bitola,1,0,Bosniak,2015
Valandovo,0,0,Bosniak,2015
Veles,9,12,Bosniak,2015
Vinica,0,0,Bosniak,2015
Gevgelija,0,0,Bosniak,2015
Gostivar,1,0,Bosniak,2015
Debar,0,0,Bosniak,2015
Delchevo,1,0,Bosniak,2015
Demir Hisar,0,0,Bosniak,2015
Kavadarci,1,0,Bosniak,2015
Kichevo,0,1,Bosniak,2015
Kochani,0,0,Bosniak,2015
Kratovo,0,0,Bosniak,2015
Kriva Palanka,0,0,Bosniak,2015
Krushevo,5,0,Bosniak,2015
Kumanovo,0,0,Bosniak,2015
Makedonski Brod,0,0,Bosniak,2015
Negotino,0,0,Bosniak,2015
Ohrid,0,0,Bosniak,2015
Prilep,16,34,Bosniak,2015
Probishtip,0,0,Bosniak,2015
Radovish,0,0,Bosniak,2015
Resen,0,0,Bosniak,2015
Sveti Nikole,1,1,Bosniak,2015
Skopje,74,73,Bosniak,2015
Struga,0,0,Bosniak,2015
Strumica,0,0,Bosniak,2015
Tetovo,1,3,Bosniak,2015
Shtip,0,0,Bosniak,2015
Berovo ,2,2,Other,2015
Bitola,33,41,Other,2015
Valandovo,2,3,Other,2015
Veles,45,125,Other,2015
Vinica,1,3,Other,2015
Gevgelija,0,1,Other,2015
Gostivar,88,344,Other,2015
Debar,74,353,Other,2015
Delchevo,0,1,Other,2015
Demir Hisar,1,0,Other,2015
Kavadarci,8,11,Other,2015
Kichevo,13,40,Other,2015
Kochani,2,4,Other,2015
Kratovo,1,0,Other,2015
Kriva Palanka,5,2,Other,2015
Krushevo,9,13,Other,2015
Kumanovo,11,16,Other,2015
Makedonski Brod,0,1,Other,2015
Negotino,10,11,Other,2015
Ohrid,102,133,Other,2015
Prilep,24,38,Other,2015
Probishtip,1,1,Other,2015
Radovish,0,0,Other,2015
Resen,15,22,Other,2015
Sveti Nikole,1,4,Other,2015
Skopje,135,130,Other,2015
Struga,67,174,Other,2015
Strumica,1,3,Other,2015
Tetovo,17,42,Other,2015
Shtip,8,6,Other,2015
