Ethnicity,Total,Male,Female,Municipality
Undeclared,17,9,8,Bitola
Unknown,15,7,8,Bitola
Admin,5505,2803,2702,Bitola
Total,7339,3722,3617,Bogdanci
Macedonians,6665,3353,3312,Bogdanci
Albanians,1,0,1,Bogdanci
Turks,38,20,18,Bogdanci
Roma,12,8,4,Bogdanci
Vlachs,4,1,3,Bogdanci
Serbs,275,163,112,Bogdanci
Bosniaks,1,1,0,Bogdanci
Other,44,29,15,Bogdanci
Undeclared,3,2,1,Bogdanci
Unknown,1,1,0,Bogdanci
Admin,295,144,151,Bogdanci
Total,22906,11443,11463,Bogovinje
Macedonians,16,7,9,Bogovinje
Albanians,20475,10229,10246,Bogovinje
Turks,803,412,391,Bogovinje
Roma,0,0,0,Bogovinje
Vlachs,1,1,0,Bogovinje
Serbs,2,0,2,Bogovinje
Bosniaks,6,0,6,Bogovinje
Other,35,21,14,Bogovinje
Undeclared,0,0,0,Bogovinje
Unknown,1,0,1,Bogovinje
Admin,1567,773,794,Bogovinje
Total,11508,5857,5651,Bosilovo
Macedonians,9762,4971,4791,Bosilovo
Albanians,7,0,7,Bosilovo
Turks,677,343,334,Bosilovo
Roma,16,10,6,Bosilovo
Vlachs,0,0,0,Bosilovo
Serbs,6,2,4,Bosilovo
Bosniaks,0,0,0,Bosilovo
Other,15,9,6,Bosilovo
Undeclared,0,0,0,Bosilovo
Unknown,0,0,0,Bosilovo
Admin,1025,522,503,Bosilovo
Total,13645,6796,6849,Brvenica
Macedonians,5715,2944,2771,Brvenica
Albanians,7377,3595,3782,Brvenica
Turks,0,0,0,Brvenica
Roma,1,1,0,Brvenica
Vlachs,0,0,0,Brvenica
Serbs,40,24,16,Brvenica
Bosniaks,6,0,6,Brvenica
Other,28,14,14,Brvenica
Undeclared,0,0,0,Brvenica
Unknown,1,1,0,Brvenica
Admin,477,217,260,Brvenica
Total,10508,5399,5109,Valandovo
Macedonians,8166,4128,4038,Valandovo
Albanians,10,1,9,Valandovo
Turks,1412,750,662,Valandovo
Roma,24,17,7,Valandovo
Vlachs,0,0,0,Valandovo
Serbs,469,284,185,Valandovo
Bosniaks,4,0,4,Valandovo
Other,57,34,23,Valandovo
Undeclared,0,0,0,Valandovo
Unknown,2,0,2,Valandovo
Admin,364,185,179,Valandovo
Total,10552,5380,5172,Vasilevo
Macedonians,6831,3471,3360,Vasilevo
Albanians,3,0,3,Vasilevo
Turks,2251,1172,1079,Vasilevo
Roma,27,11,16,Vasilevo
Vlachs,0,0,0,Vasilevo
Serbs,4,2,2,Vasilevo
Bosniaks,0,0,0,Vasilevo
Other,99,50,49,Vasilevo
Undeclared,0,0,0,Vasilevo
Unknown,0,0,0,Vasilevo
Admin,1337,674,663,Vasilevo
Total,2359,1182,1177,Vevchani
Macedonians,2252,1129,1123,Vevchani
Albanians,14,5,9,Vevchani
Turks,0,0,0,Vevchani
Roma,0,0,0,Vevchani
Vlachs,4,2,2,Vevchani
Serbs,3,2,1,Vevchani
Bosniaks,0,0,0,Vevchani
Other,6,2,4,Vevchani
Undeclared,0,0,0,Vevchani
Unknown,0,0,0,Vevchani
Admin,80,42,38,Vevchani
Total,48463,24102,24361,Veles
Macedonians,36825,18132,18693,Veles
Albanians,2736,1412,1324,Veles
Turks,1037,527,510,Veles
Roma,507,274,233,Veles
Vlachs,270,151,119,Veles
Serbs,267,145,122,Veles
Bosniaks,1825,904,921,Veles
Other,271,153,118,Veles
Undeclared,0,0,0,Veles
Unknown,7,5,2,Veles
Admin,4718,2399,2319,Veles
Total,14475,7219,7256,Vinica
Macedonians,11929,5930,5999,Vinica
Albanians,8,0,8,Vinica
Turks,173,94,79,Vinica
Roma,744,374,370,Vinica
Vlachs,89,51,38,Vinica
Serbs,17,4,13,Vinica
Bosniaks,0,0,0,Vinica
Other,68,33,35,Vinica
Undeclared,6,3,3,Vinica
Unknown,4,2,2,Vinica
Admin,1437,728,709,Vinica
Total,19842,9744,10098,Vrapchishte
Macedonians,875,447,428,Vrapchishte
Albanians,15109,7439,7670,Vrapchishte
Turks,3099,1502,1597,Vrapchishte
Roma,3,1,2,Vrapchishte
Vlachs,0,0,0,Vrapchishte
Serbs,6,1,5,Vrapchishte
Bosniaks,9,0,9,Vrapchishte
Other,6,2,4,Vrapchishte
Undeclared,0,0,0,Vrapchishte
Unknown,1,1,0,Vrapchishte
Admin,734,351,383,Vrapchishte
Total,21582,10700,10882,Gevgelija
Macedonians,19778,9736,10042,Gevgelija
Albanians,20,4,16,Gevgelija
Turks,59,37,22,Gevgelija
Roma,21,11,10,Gevgelija
Vlachs,266,156,110,Gevgelija
Serbs,217,125,92,Gevgelija
Bosniaks,8,5,3,Gevgelija
Other,162,87,75,Gevgelija
Undeclared,2,2,0,Gevgelija
Unknown,2,2,0,Gevgelija
Admin,1047,535,512,Gevgelija
Total,59770,29321,30449,Gostivar
Macedonians,12807,6342,6465,Gostivar
Albanians,33076,16126,16950,Gostivar
Turks,7597,3789,3808,Gostivar
Roma,2273,1144,1129,Gostivar
Vlachs,17,10,7,Gostivar
Serbs,73,36,37,Gostivar
Bosniaks,25,7,18,Gostivar
Other,487,237,250,Gostivar
Undeclared,2,1,1,Gostivar
Unknown,4,3,1,Gostivar
Admin,3409,1626,1783,Gostivar
Total,3233,1680,1553,Gradsko
Macedonians,2340,1219,1121,Gradsko
Albanians,92,51,41,Gradsko
Turks,79,48,31,Gradsko
Roma,183,98,85,Gradsko
Vlachs,0,0,0,Gradsko
Serbs,13,7,6,Gradsko
Bosniaks,349,175,174,Gradsko
Other,44,20,24,Gradsko
Undeclared,0,0,0,Gradsko
Unknown,0,0,0,Gradsko
Admin,133,62,71,Gradsko
Total,15412,7677,7735,Debar
Macedonians,1155,595,560,Debar
Albanians,8438,4235,4203,Debar
Turks,2733,1352,1381,Debar
Roma,1140,555,585,Debar
Vlachs,2,2,0,Debar
Serbs,5,1,4,Debar
Bosniaks,8,3,5,Debar
Other,424,216,208,Debar
Undeclared,2,1,1,Debar
Unknown,6,5,1,Debar
Admin,1499,712,787,Debar
Total,3719,1887,1832,Debarca
Macedonians,3330,1695,1635,Debarca
Albanians,59,29,30,Debarca
Turks,2,1,1,Debarca
Roma,0,0,0,Debarca
Vlachs,0,0,0,Debarca
Serbs,1,0,1,Debarca
Bosniaks,3,2,1,Debarca
Other,8,6,2,Debarca
Undeclared,0,0,0,Debarca
Unknown,0,0,0,Debarca
Admin,316,154,162,Debarca
Total,13585,6806,6779,Delchevo
Macedonians,11949,5985,5964,Delchevo
Albanians,20,3,17,Delchevo
Turks,112,58,54,Delchevo
Roma,475,244,231,Delchevo
Vlachs,5,3,2,Delchevo
Serbs,9,5,4,Delchevo
Bosniaks,2,1,1,Delchevo
Other,108,57,51,Delchevo
Undeclared,0,0,0,Delchevo
Unknown,0,0,0,Delchevo
Admin,905,450,455,Delchevo
Total,3777,1949,1828,Demir Kapija
Macedonians,3076,1584,1492,Demir Kapija
Albanians,14,1,13,Demir Kapija
Turks,376,208,168,Demir Kapija
Roma,37,20,17,Demir Kapija
Vlachs,2,2,0,Demir Kapija
Serbs,130,66,64,Demir Kapija
Bosniaks,1,0,1,Demir Kapija
Other,26,14,12,Demir Kapija
Undeclared,0,0,0,Demir Kapija
Unknown,0,0,0,Demir Kapija
Admin,115,54,61,Demir Kapija
Total,7260,3755,3505,Demir Hisar
Macedonians,6708,3458,3250,Demir Hisar
Albanians,218,107,111,Demir Hisar
Turks,4,4,0,Demir Hisar
Roma,16,12,4,Demir Hisar
Vlachs,10,6,4,Demir Hisar
Serbs,6,1,5,Demir Hisar
Bosniaks,0,0,0,Demir Hisar
Other,27,19,8,Demir Hisar
Undeclared,1,1,0,Demir Hisar
Unknown,1,1,0,Demir Hisar
Admin,269,146,123,Demir Hisar
Total,3084,1569,1515,Star Dojran
Macedonians,2528,1264,1264,Star Dojran
Albanians,15,9,6,Star Dojran
Turks,211,120,91,Star Dojran
Roma,30,14,16,Star Dojran
Vlachs,3,3,0,Star Dojran
Serbs,152,86,66,Star Dojran
Bosniaks,1,0,1,Star Dojran
Other,24,17,7,Star Dojran
Undeclared,0,0,0,Star Dojran
Unknown,0,0,0,Star Dojran
Admin,120,56,64,Star Dojran
Total,13126,6855,6271,Dolneni
Macedonians,3831,2041,1790,Dolneni
Albanians,4442,2268,2174,Dolneni
Turks,2434,1303,1131,Dolneni
Roma,0,0,0,Dolneni
Vlachs,7,4,3,Dolneni
Serbs,13,6,7,Dolneni
Bosniaks,2006,1031,975,Dolneni
Other,21,15,6,Dolneni
Undeclared,0,0,0,Dolneni
Unknown,0,0,0,Dolneni
Admin,372,187,185,Dolneni
Total,18988,9370,9618,Zhelino
Macedonians,9,6,3,Zhelino
Albanians,18191,8983,9208,Zhelino
Turks,0,0,0,Zhelino
Roma,0,0,0,Zhelino
Vlachs,0,0,0,Zhelino
Serbs,0,0,0,Zhelino
Bosniaks,1,0,1,Zhelino
Other,3,2,1,Zhelino
Undeclared,0,0,0,Zhelino
Unknown,0,0,0,Zhelino
Admin,784,379,405,Zhelino
Total,3361,1738,1623,Zelenikovo
Macedonians,2407,1222,1185,Zelenikovo
Albanians,415,220,195,Zelenikovo
Turks,5,1,4,Zelenikovo
Roma,44,25,19,Zelenikovo
Vlachs,0,0,0,Zelenikovo
Serbs,46,21,25,Zelenikovo
Bosniaks,187,108,79,Zelenikovo
Other,9,5,4,Zelenikovo
Undeclared,1,0,1,Zelenikovo
Unknown,2,2,0,Zelenikovo
Admin,245,134,111,Zelenikovo
Total,2086,1048,1038,Zrnovci
Macedonians,1985,1001,984,Zrnovci
Albanians,2,0,2,Zrnovci
Turks,0,0,0,Zrnovci
Roma,0,0,0,Zrnovci
Vlachs,3,2,1,Zrnovci
Serbs,2,1,1,Zrnovci
Bosniaks,0,0,0,Zrnovci
Other,14,6,8,Zrnovci
Undeclared,0,0,0,Zrnovci
Unknown,0,0,0,Zrnovci
Admin,80,38,42,Zrnovci
Total,17435,8776,8659,Ilinden
Macedonians,14758,7354,7404,Ilinden
Albanians,367,189,178,Ilinden
Turks,4,1,3,Ilinden
Roma,476,257,219,Ilinden
Vlachs,8,1,7,Ilinden
Serbs,628,370,258,Ilinden
Bosniaks,8,4,4,Ilinden
Other,126,65,61,Ilinden
Undeclared,7,5,2,Ilinden
Unknown,3,1,2,Ilinden
Admin,1050,529,521,Ilinden
Total,8895,4503,4392,Jegunovce
Macedonians,4746,2415,2331,Jegunovce
Albanians,3482,1742,1740,Jegunovce
Turks,0,0,0,Jegunovce
Roma,49,28,21,Jegunovce
Vlachs,0,0,0,Jegunovce
Serbs,89,48,41,Jegunovce
Bosniaks,0,0,0,Jegunovce
Other,11,6,5,Jegunovce
Undeclared,0,0,0,Jegunovce
Unknown,0,0,0,Jegunovce
Admin,518,264,254,Jegunovce
Total,35733,17908,17825,Kavadarci
Macedonians,32012,15968,16044,Kavadarci
Albanians,30,3,27,Kavadarci
Turks,134,65,69,Kavadarci
Roma,729,396,333,Kavadarci
Vlachs,29,15,14,Kavadarci
Serbs,125,65,60,Kavadarci
Bosniaks,9,4,5,Kavadarci
Other,213,117,96,Kavadarci
Undeclared,2,1,1,Kavadarci
Unknown,22,16,6,Kavadarci
Admin,2428,1258,1170,Kavadarci
Total,3420,1746,1674,Karbinci
Macedonians,2159,1106,1053,Karbinci
Albanians,0,0,0,Karbinci
Turks,857,427,430,Karbinci
Roma,15,7,8,Karbinci
Vlachs,10,5,5,Karbinci
Serbs,7,4,3,Karbinci
Bosniaks,0,0,0,Karbinci
Other,4,3,1,Karbinci
Undeclared,0,0,0,Karbinci
Unknown,0,0,0,Karbinci
Admin,368,194,174,Karbinci
Total,39669,20014,19655,Kichevo
Macedonians,16020,8144,7876,Kichevo
Albanians,16373,8171,8202,Kichevo
Turks,2553,1280,1273,Kichevo
Roma,2003,1028,975,Kichevo
Vlachs,70,40,30,Kichevo
Serbs,60,35,25,Kichevo
Bosniaks,13,3,10,Kichevo
Other,166,87,79,Kichevo
Undeclared,1,1,0,Kichevo
Unknown,5,1,4,Kichevo
Admin,2405,1224,1181,Kichevo
Total,2725,1437,1288,Konche
Macedonians,1947,1046,901,Konche
Albanians,3,0,3,Konche
Turks,606,302,304,Konche
Roma,0,0,0,Konche
Vlachs,0,0,0,Konche
Serbs,1,1,0,Konche
Bosniaks,1,0,1,Konche
Other,1,1,0,Konche
Undeclared,0,0,0,Konche
Unknown,0,0,0,Konche
Admin,166,87,79,Konche
Total,31602,15625,15977,Kochani
Macedonians,26798,13156,13642,Kochani
Albanians,15,1,14,Kochani
Turks,138,69,69,Kochani
Roma,1892,974,918,Kochani
Vlachs,170,85,85,Kochani
Serbs,37,21,16,Kochani
Bosniaks,14,10,4,Kochani
Other,136,76,60,Kochani
Undeclared,2,1,1,Kochani
Unknown,1,0,1,Kochani
Admin,2399,1232,1167,Kochani
Total,7545,3901,3644,Kratovo
Macedonians,6961,3566,3395,Kratovo
Albanians,8,0,8,Kratovo
Turks,0,0,0,Kratovo
Roma,100,55,45,Kratovo
Vlachs,1,0,1,Kratovo
Serbs,14,8,6,Kratovo
Bosniaks,0,0,0,Kratovo
Other,23,8,15,Kratovo
Undeclared,0,0,0,Kratovo
Unknown,1,1,0,Kratovo
Admin,437,263,174,Kratovo
Total,18059,9302,8757,Kriva Palanka
Macedonians,16675,8565,8110,Kriva Palanka
Albanians,7,1,6,Kriva Palanka
Turks,6,3,3,Kriva Palanka
Roma,447,232,215,Kriva Palanka
Vlachs,5,1,4,Kriva Palanka
Serbs,66,32,34,Kriva Palanka
Bosniaks,2,0,2,Kriva Palanka
Other,83,43,40,Kriva Palanka
Undeclared,0,0,0,Kriva Palanka
Unknown,4,3,1,Kriva Palanka
Admin,764,422,342,Kriva Palanka
Total,5167,2716,2451,Krivogashtani
Macedonians,5021,2641,2380,Krivogashtani
Albanians,7,1,6,Krivogashtani
Turks,0,0,0,Krivogashtani
Roma,4,2,2,Krivogashtani
Vlachs,1,0,1,Krivogashtani
Serbs,7,2,5,Krivogashtani
Bosniaks,1,0,1,Krivogashtani
Other,14,9,5,Krivogashtani
Undeclared,1,1,0,Krivogashtani
Unknown,0,0,0,Krivogashtani
Admin,111,60,51,Krivogashtani
Total,8385,4276,4109,Krushevo
Macedonians,4316,2149,2167,Krushevo
Albanians,2464,1295,1169,Krushevo
Turks,283,156,127,Krushevo
Roma,0,0,0,Krushevo
Vlachs,867,466,401,Krushevo
Serbs,10,1,9,Krushevo
Bosniaks,108,54,54,Krushevo
Other,33,15,18,Krushevo
Undeclared,2,1,1,Krushevo
Unknown,0,0,0,Krushevo
Admin,302,139,163,Krushevo
Total,98104,48805,49299,Kumanovo
Macedonians,54741,26874,27867,Kumanovo
Albanians,25493,12596,12897,Kumanovo
Turks,143,84,59,Kumanovo
Roma,2795,1414,1381,Kumanovo
Vlachs,117,51,66,Kumanovo
Serbs,6392,3482,2910,Kumanovo
Bosniaks,38,17,21,Kumanovo
Other,700,422,278,Kumanovo
Undeclared,24,17,7,Kumanovo
Unknown,45,27,18,Kumanovo
Admin,7616,3821,3795,Kumanovo
Total,22308,11104,11204,Lipkovo
Macedonians,33,19,14,Lipkovo
Albanians,21560,10751,10809,Lipkovo
Turks,1,1,0,Lipkovo
Roma,0,0,0,Lipkovo
Vlachs,0,0,0,Lipkovo
Serbs,4,1,3,Lipkovo
Bosniaks,4,1,3,Lipkovo
Other,5,2,3,Lipkovo
Undeclared,0,0,0,Lipkovo
Unknown,0,0,0,Lipkovo
Admin,701,329,372,Lipkovo
Total,2264,1211,1053,Lozovo
Macedonians,1887,1011,876,Lozovo
Albanians,20,9,11,Lozovo
Turks,203,109,94,Lozovo
Roma,0,0,0,Lozovo
Vlachs,42,21,21,Lozovo
Serbs,20,10,10,Lozovo
Bosniaks,17,9,8,Lozovo
Other,5,4,1,Lozovo
Undeclared,0,0,0,Lozovo
Unknown,0,0,0,Lozovo
Admin,70,38,32,Lozovo
