Ethnicity,Total,Male,Female,Municipality
Turks,1,0,1,Rankovce
Roma,143,76,67,Rankovce
Vlachs,0,0,0,Rankovce
Serbs,14,7,7,Rankovce
Bosniaks,0,0,0,Rankovce
Other,5,3,2,Rankovce
Undeclared,0,0,0,Rankovce
Unknown,0,0,0,Rankovce
Admin,247,126,121,Rankovce
Total,14373,7190,7183,Resen
Macedonians,10130,5092,5038,Resen
Albanians,1381,663,718,Resen
Turks,1457,736,721,Resen
Roma,314,150,164,Resen
Vlachs,44,25,19,Resen
Serbs,70,34,36,Resen
Bosniaks,12,6,6,Resen
Other,251,125,126,Resen
Undeclared,1,0,1,Resen
Unknown,2,0,2,Resen
Admin,711,359,352,Resen
Total,3796,1952,1844,Rosoman
Macedonians,3365,1713,1652,Rosoman
Albanians,5,0,5,Rosoman
Turks,0,0,0,Rosoman
Roma,35,18,17,Rosoman
Vlachs,4,2,2,Rosoman
Serbs,253,149,104,Rosoman
Bosniaks,0,0,0,Rosoman
Other,25,16,9,Rosoman
Undeclared,0,0,0,Rosoman
Unknown,0,0,0,Rosoman
Admin,109,54,55,Rosoman
Total,15320,7841,7479,Sveti Nikole
Macedonians,14170,7256,6914,Sveti Nikole
Albanians,10,0,10,Sveti Nikole
Turks,57,28,29,Sveti Nikole
Roma,45,16,29,Sveti Nikole
Vlachs,134,63,71,Sveti Nikole
Serbs,33,9,24,Sveti Nikole
Bosniaks,1,0,1,Sveti Nikole
Other,47,30,17,Sveti Nikole
Undeclared,0,0,0,Sveti Nikole
Unknown,6,5,1,Sveti Nikole
Admin,817,434,383,Sveti Nikole
Total,6713,3423,3290,Sopishte
Macedonians,4045,2059,1986,Sopishte
Albanians,1693,869,824,Sopishte
Turks,463,237,226,Sopishte
Roma,1,1,0,Sopishte
Vlachs,19,10,9,Sopishte
Serbs,49,29,20,Sopishte
Bosniaks,0,0,0,Sopishte
Other,32,17,15,Sopishte
Undeclared,0,0,0,Sopishte
Unknown,1,0,1,Sopishte
Admin,410,201,209,Sopishte
Total,3501,1902,1599,Staro Nagorichane
Macedonians,2513,1349,1164,Staro Nagorichane
Albanians,13,1,12,Staro Nagorichane
Turks,0,0,0,Staro Nagorichane
Roma,3,1,2,Staro Nagorichane
Vlachs,0,0,0,Staro Nagorichane
Serbs,585,338,247,Staro Nagorichane
Bosniaks,0,0,0,Staro Nagorichane
Other,9,5,4,Staro Nagorichane
Undeclared,0,0,0,Staro Nagorichane
Unknown,0,0,0,Staro Nagorichane
Admin,378,208,170,Staro Nagorichane
Total,50980,25355,25625,Struga
Macedonians,14900,7366,7534,Struga
Albanians,25785,12912,12873,Struga
Turks,3472,1649,1823,Struga
Roma,177,92,85,Struga
Vlachs,492,286,206,Struga
Serbs,68,41,27,Struga
Bosniaks,95,48,47,Struga
Other,2420,1217,1203,Struga
Undeclared,27,13,14,Struga
Unknown,14,9,5,Struga
Admin,3530,1722,1808,Struga
Total,49995,24701,25294,Strumica
Macedonians,38949,19094,19855,Strumica
Albanians,22,4,18,Strumica
Turks,3927,2006,1921,Strumica
Roma,218,112,106,Strumica
Vlachs,10,4,6,Strumica
Serbs,99,51,48,Strumica
Bosniaks,3,0,3,Strumica
Other,268,144,124,Strumica
Undeclared,12,2,10,Strumica
Unknown,7,3,4,Strumica
Admin,6480,3281,3199,Strumica
Total,21970,11245,10725,Studenichani
Macedonians,437,213,224,Studenichani
Albanians,14982,7673,7309,Studenichani
Turks,3231,1652,1579,Studenichani
Roma,46,27,19,Studenichani
Vlachs,4,1,3,Studenichani
Serbs,14,7,7,Studenichani
Bosniaks,1637,822,815,Studenichani
Other,81,47,34,Studenichani
Undeclared,1,1,0,Studenichani
Unknown,3,3,0,Studenichani
Admin,1534,799,735,Studenichani
Total,17694,8851,8843,Tearce
Macedonians,2114,1078,1036,Tearce
Albanians,14704,7351,7353,Tearce
Turks,382,206,176,Tearce
Roma,50,23,27,Tearce
Vlachs,0,0,0,Tearce
Serbs,22,10,12,Tearce
Bosniaks,0,0,0,Tearce
Other,22,11,11,Tearce
Undeclared,0,0,0,Tearce
Unknown,2,1,1,Tearce
Admin,398,171,227,Tearce
Total,84770,41663,43107,Tetovo
Macedonians,15529,7513,8016,Tetovo
Albanians,60460,29858,30602,Tetovo
Turks,1746,835,911,Tetovo
Roma,1885,961,924,Tetovo
Vlachs,11,5,6,Tetovo
Serbs,256,138,118,Tetovo
Bosniaks,189,82,107,Tetovo
Other,303,142,161,Tetovo
Undeclared,16,12,4,Tetovo
Unknown,7,4,3,Tetovo
Admin,4368,2113,2255,Tetovo
Total,3720,1842,1878,Centar Zhupa
Macedonians,236,114,122,Centar Zhupa
Albanians,187,93,94,Centar Zhupa
Turks,2899,1449,1450,Centar Zhupa
Roma,0,0,0,Centar Zhupa
Vlachs,0,0,0,Centar Zhupa
Serbs,0,0,0,Centar Zhupa
Bosniaks,1,0,1,Centar Zhupa
Other,42,20,22,Centar Zhupa
Undeclared,0,0,0,Centar Zhupa
Unknown,1,1,0,Centar Zhupa
Admin,354,165,189,Centar Zhupa
Total,7942,4083,3859,Chashka
Macedonians,3071,1622,1449,Chashka
Albanians,4032,1999,2033,Chashka
Turks,373,202,171,Chashka
Roma,0,0,0,Chashka
Vlachs,1,0,1,Chashka
Serbs,24,14,10,Chashka
Bosniaks,35,16,19,Chashka
Other,94,55,39,Chashka
Undeclared,3,1,2,Chashka
Unknown,7,4,3,Chashka
Admin,302,170,132,Chashka
Total,5471,2796,2675,Cheshinovo - Obleshevo
Macedonians,5231,2675,2556,Cheshinovo - Obleshevo
Albanians,7,0,7,Cheshinovo - Obleshevo
Turks,0,0,0,Cheshinovo - Obleshevo
Roma,0,0,0,Cheshinovo - Obleshevo
Vlachs,8,3,5,Cheshinovo - Obleshevo
Serbs,1,0,1,Cheshinovo - Obleshevo
Bosniaks,0,0,0,Cheshinovo - Obleshevo
Other,1,1,0,Cheshinovo - Obleshevo
Undeclared,0,0,0,Cheshinovo - Obleshevo
Unknown,0,0,0,Cheshinovo - Obleshevo
Admin,223,117,106,Cheshinovo - Obleshevo
Total,9200,4731,4469,Chucher - Sandevo
Macedonians,5032,2446,2586,Chucher - Sandevo
Albanians,1224,624,600,Chucher - Sandevo
Turks,14,5,9,Chucher - Sandevo
Roma,23,10,13,Chucher - Sandevo
Vlachs,16,8,8,Chucher - Sandevo
Serbs,1932,1118,814,Chucher - Sandevo
Bosniaks,84,43,41,Chucher - Sandevo
Other,106,57,49,Chucher - Sandevo
Undeclared,4,1,3,Chucher - Sandevo
Unknown,1,0,1,Chucher - Sandevo
Admin,764,419,345,Chucher - Sandevo
Total,44866,22251,22615,Shtip
Macedonians,34752,16969,17783,Shtip
Albanians,33,12,21,Shtip
Turks,1334,713,621,Shtip
Roma,2301,1207,1094,Shtip
Vlachs,1584,833,751,Shtip
Serbs,172,82,90,Shtip
Bosniaks,12,4,8,Shtip
Other,273,148,125,Shtip
Undeclared,9,6,3,Shtip
Unknown,11,5,6,Shtip
Admin,4385,2272,2113,Shtip
