Municipality,Total resident population,Households,Dwellings,Year
Aerodrom,77735,27895,35337,2021
Arachinovo,12676,2848,2815,2021
Berovo,10890,4143,8683,2021
Bitola,85164,30154,43724,2021
Bogdanci,7339,2611,3048,2021
Bogovinje,22906,6457,7759,2021
Bosilovo,11508,3801,5760,2021
Brvenica,13645,3459,4783,2021
Butel,37968,10968,12324,2021
Centar,43893,17068,27065,2021
Centar Zhupa,3720,1108,2454,2021
Chair,62586,15779,17771,2021
Chashka,7942,2142,4728,2021
Cheshinovo - Obleshevo,5471,1897,3100,2021
Chucher - Sandevo,9200,2762,4426,2021
Debar,15412,4157,6130,2021
Debarca,3719,1350,4460,2021
Delchevo,13585,4898,6403,2021
Demir Hisar,7260,2526,6583,2021
Demir Kapija,3777,1443,2219,2021
Dolneni,13126,3559,5174,2021
Kichevo,39669,13787,24872,2021
Gazi Baba,69626,22509,26543,2021
Gevgelija,21582,8386,10833,2021
Gjorche Petrov,44844,15524,18201,2021
Gostivar,59770,20054,27945,2021
Gradsko,3233,978,1427,2021
Ilinden,17435,5481,6628,2021
Jegunovce,8895,2658,3465,2021
Karbinci,3420,1302,2274,2021
Karposh,63760,24589,32115,2021
Kavadarci,35733,12375,14917,2021
Kisela Voda,61965,22096,27403,2021
Kochani,31602,12006,18451,2021
Konche,2725,954,1048,2021
Kratovo,7545,2886,5513,2021
Kriva Palanka,18059,6984,11614,2021
Krivogashtani,5167,1675,2379,2021
Krushevo,8385,2467,3655,2021
Kumanovo,98104,30450,38147,2021
Lipkovo,22308,5412,7080,2021
Lozovo,2264,795,1183,2021
Makedonska Kamenica,6439,2649,3141,2021
Makedonski Brod,5889,2111,4093,2021
Mavrovo and Rostusha,5042,1597,5658,2021
Mogila,5283,1691,2835,2021
Negotino,18194,6131,7614,2021
Novaci,2648,855,1395,2021
Novo Selo,6972,2799,6258,2021
Ohrid,51428,18368,33660,2021
Pehchevo,3983,1463,2903,2021
Petrovec,9150,2511,4136,2021
Plasnica,4222,1352,1793,2021
Prilep,69025,24607,33080,2021
Probishtip,13417,4903,7880,2021
Radovish,24122,8511,11283,2021
Rankovce,3465,1323,2654,2021
Resen,14373,4906,8777,2021
Rosoman,3796,1243,1573,2021
Saraj,38399,8639,10375,2021
Shtip,44866,16695,22590,2021
Shuto Orizari,25726,6104,6716,2021
Sopishte,6713,1988,4214,2021
Star Dojran,3084,1066,3147,2021
Staro Nagorichane,3501,1346,3572,2021
Struga,50980,14606,22668,2021
Strumica,49995,17400,24621,2021
Studenichani,21970,5119,5574,2021
Sveti Nikole,15320,5120,6812,2021
Tearce,17694,4849,6982,2021
Tetovo,84770,23848,30167,2021
Valandovo,10508,3453,4273,2021
Vasilevo,10552,3556,4317,2021
Veles,48463,16566,18630,2021
Vevchani,2359,661,948,2021
Vinica,14475,5024,7314,2021
Vrapchishte,19842,5155,7509,2021
Zelenikovo,3361,957,1609,2021
Zhelino,18988,4266,6379,2021
Zrnovci,2086,801,1585,2021
